date,fund,company,ticker,shares,market value($),weight(%)
2020-10-16,ARKG,INVITAE CORP,NVTA,6298765.0,296230917.95,9.67
2020-10-16,ARKG,CRISPR THERAPEUTICS AG,CRSP,2537146.0,278654745.18,9.1
2020-10-16,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,15059225.0,216401063.25,7.06
2020-10-16,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,2892286.0,159451727.18,5.21
2020-10-16,ARKG,TWIST BIOSCIENCE CORP,TWST,1635831.0,155273078.52,5.07
2020-10-16,ARKG,SERES THERAPEUTICS INC,MCRB,3293319.0,112137511.95,3.66
2020-10-16,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,2981407.0,112220159.48,3.66
2020-10-16,ARKG,CAREDX INC,CDNA,2154552.0,111088701.12,3.63
2020-10-16,ARKG,PERSONALIS INC,PSNL,3816194.0,101625246.22,3.32
2020-10-16,ARKG,COMPUGEN LTD,CGEN,6177420.0,97665010.2,3.19
2020-10-16,ARKG,TELADOC HEALTH INC,TDOC,391758.0,86692127.82,2.83
2020-10-16,ARKG,CELLECTIS - ADR,CLLS,4274934.0,84130701.12,2.75
2020-10-16,ARKG,ILLUMINA INC,ILMN,251461.0,82054238.91,2.68
2020-10-16,ARKG,FATE THERAPEUTICS INC,FATE,1668668.0,81164011.52,2.65
2020-10-16,ARKG,PURE STORAGE INC - CLASS A,PSTG,4342345.0,79334643.14999999,2.59
2020-10-16,ARKG,VERACYTE INC,VCYT,1742291.0,74604900.62,2.44
2020-10-16,ARKG,EDITAS MEDICINE INC,EDIT,2033669.0,68453298.53999999,2.23
2020-10-16,ARKG,INCYTE CORP,INCY,752529.0,68201703.27,2.23
2020-10-16,ARKG,EXACT SCIENCES CORP,EXAS,613318.0,63368015.76,2.07
2020-10-16,ARKG,INTELLIA THERAPEUTICS INC,NTLA,2418252.0,63140559.72,2.06
2020-10-16,ARKG,CERUS CORP,CERS,8217565.0,52838942.95,1.72
2020-10-16,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,936017.0,48382718.73,1.58
2020-10-16,ARKG,VERTEX PHARMACEUTICALS INC,VRTX,204576.0,44613934.080000006,1.46
2020-10-16,ARKG,10X GENOMICS INC-CLASS A,TXG,267756.0,43831657.2,1.43
2020-10-16,ARKG,IONIS PHARMACEUTICALS INC,IONS,812169.0,38277524.97,1.25
2020-10-16,ARKG,MORGAN STANLEY GOVT INSTL 8035,,35116049.42,35116049.42,1.15
2020-10-16,ARKG,SCHRODINGER INC,SDGR,599229.0,34719328.26,1.13
2020-10-16,ARKG,SYROS PHARMACEUTICALS INC,SYRS,3802683.0,31942537.200000003,1.04
2020-10-16,ARKG,TAKEDA PHARMACEUTIC-SP ADR,TAK UN,1917552.0,31965591.840000004,1.04
2020-10-16,ARKG,ACCOLADE INC,ACCD,765780.0,31879421.4,1.04
2020-10-16,ARKG,NANOSTRING TECHNOLOGIES INC,NSTG,747624.0,30061961.04,0.98
2020-10-16,ARKG,XILINX INC,XLNX,245489.0,28972611.78,0.95
2020-10-16,ARKG,GUARDANT HEALTH INC,GH,271137.0,27384837.0,0.89
2020-10-16,ARKG,CASTLE BIOSCIENCES INC,CSTL,518874.0,25928133.78,0.85
2020-10-16,ARKG,CODEXIS INC,CDXS,1636598.0,23026933.86,0.75
