date,fund,company,ticker,shares,market value($),weight(%)
2020-10-16,ARKQ,TESLA INC,TSLA,181584,79837037.28,10.22
2020-10-16,ARKQ,MATERIALISE NV-ADR,MTLS,1301057,62502778.28,8
2020-10-16,ARKQ,2U INC,TWOU,1213773,43210318.800000004,5.53
2020-10-16,ARKQ,XILINX INC,XLNX,335805,39631706.1,5.07
2020-10-16,ARKQ,ALPHABET INC-CL C,GOOG,20560,32341085.6,4.14
2020-10-16,ARKQ,PROTO LABS INC,PRLB,221474,32310841.859999996,4.14
2020-10-16,ARKQ,DEERE & CO,DE,121077,29065744.62,3.72
2020-10-16,ARKQ,JD.COM INC-ADR,JD,333610,27195887.2,3.48
2020-10-16,ARKQ,TRIMBLE INC,TRMB,504356,26397993.040000003,3.38
2020-10-16,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,1246909,25923238.11,3.32
2020-10-16,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,749852,25165033.12,3.22
2020-10-16,ARKQ,STRATASYS LTD,SSYS,1710878,24756404.66,3.17
2020-10-16,ARKQ,CATERPILLAR INC,CAT,139319,23510081.25,3.01
2020-10-16,ARKQ,IRIDIUM COMMUNICATIONS INC,IRDM,723611,20290052.439999998,2.6
2020-10-16,ARKQ,FLIR SYSTEMS INC,FLIR,509140,18929825.2,2.42
2020-10-16,ARKQ,SPLUNK INC,SPLK,90669,18786616.8,2.41
2020-10-16,ARKQ,WORKHORSE GROUP INC,WKHS,822347,18757735.07,2.4
2020-10-16,ARKQ,KOMATSU LTD -SPONS ADR,KMTUY,767834,17790713.78,2.28
2020-10-16,ARKQ,AEROVIRONMENT INC,AVAV,227062,17029650,2.18
2020-10-16,ARKQ,SYNOPSYS INC,SNPS,69237,15680795.76,2.01
2020-10-16,ARKQ,NXP SEMICONDUCTORS NV,NXPI,101586,13940646.78,1.79
2020-10-16,ARKQ,TAIWAN SEMICONDUCTOR-SP ADR,TSM,160018,13873560.6,1.78
2020-10-16,ARKQ,BAIDU INC - SPON ADR,BIDU,106521,13887142.770000001,1.78
2020-10-16,ARKQ,NIU TECHNOLOGIES-SPONS ADR,NIU,413971,13205674.899999999,1.69
2020-10-16,ARKQ,VIRGIN GALACTIC HOLDINGS INC,SPCE,569445,12778345.8,1.64
2020-10-16,ARKQ,EXONE CO/THE,XONE,1007780,12294916,1.57
2020-10-16,ARKQ,AMAZON.COM INC,AMZN,3517,11510121.07,1.47
2020-10-16,ARKQ,TERADYNE INC,TER,132857,11504087.63,1.47
2020-10-16,ARKQ,INTUITIVE SURGICAL INC,ISRG,14444,10871709.92,1.39
2020-10-16,ARKQ,NVIDIA CORP,NVDA,16193,8945984.780000001,1.15
2020-10-16,ARKQ,ELBIT SYSTEMS LTD,ESLT,71605,8577562.950000001,1.1
2020-10-16,ARKQ,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,115787,8420030.64,1.08
2020-10-16,ARKQ,ANSYS INC,ANSS,23925,8367051.000000001,1.07
2020-10-16,ARKQ,ROCKWELL AUTOMATION INC,ROK,31237,7778950.11,1
2020-10-16,ARKQ,APPLE INC,AAPL,64612,7690120.239999999,0.98
2020-10-16,ARKQ,AUTODESK INC,ADSK,25082,6520567.540000001,0.83
2020-10-16,ARKQ,MORGAN STANLEY GOVT INSTL 8035,NA,3733926.65,3733926.65,0.48
2020-10-16,ARKQ,RAVEN INDUSTRIES INC,RAVN,151340,3679075.4,0.47
2020-10-16,ARKQ,NANO DIMENSION LTD - ADR,NNDM,472946,2322164.86,0.3
2020-10-16,ARKQ,ORGANOVO HOLDINGS INC,ONVO,199201,1924281.66,0.25
2020-10-19,ARKQ,TESLA INC,TSLA,185229,79802210.07,10.16
2020-10-19,ARKQ,MATERIALISE NV-ADR,MTLS,1327182,63744551.46,8.12
2020-10-19,ARKQ,2U INC,TWOU,1213773,42821911.440000005,5.45
2020-10-19,ARKQ,ALPHABET INC-CL C,GOOG,20975,32188444.749999996,4.1
2020-10-19,ARKQ,XILINX INC,XLNX,275694,32085267.72,4.09
2020-10-19,ARKQ,PROTO LABS INC,PRLB,225919,32125681.799999997,4.09
2020-10-19,ARKQ,DEERE & CO,DE,123507,29415662.189999998,3.75
2020-10-19,ARKQ,JD.COM INC-ADR,JD,340310,27432389.1,3.49
2020-10-19,ARKQ,TRIMBLE INC,TRMB,514486,26737837.419999998,3.4
2020-10-19,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,1271949,26253027.36,3.34
2020-10-19,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,764912,24982025.919999998,3.18
