date,fund,company,ticker,shares,market value($),weight(%)
2021-02-19 00:00:00,PRNT,EXONE CO/THE,XONE,1730853.0,76399851.42,10.99
2021-02-19 00:00:00,PRNT,3D SYSTEMS CORP,DDD,954550.0,41227014.5,5.93
2021-02-19 00:00:00,PRNT,STRATASYS LTD,SSYS,837026.0,36762181.92,5.29
2021-02-19 00:00:00,PRNT,STRAUMANN HOLDING AG-REG,STMN,23138.0,29775580.71,4.28
2021-02-19 00:00:00,PRNT,PTC INC,PTC,202157.0,29662496.61,4.27
2021-02-19 00:00:00,PRNT,DASSAULT SYSTEMES SE,DSY,127226.0,29050234.7,4.18
2021-02-19 00:00:00,PRNT,MGI DIGITAL GRAPHIC TECHNOLO,ALMDG,441237.0,28869769.3,4.15
2021-02-19 00:00:00,PRNT,DESKTOP METAL INC-A,DM,1101956.0,28750032.04,4.14
2021-02-19 00:00:00,PRNT,RENISHAW PLC,RSW,335131.0,28723100.58,4.13
2021-02-19 00:00:00,PRNT,HP INC,HPQ,1053718.0,28555757.8,4.11
2021-02-19 00:00:00,PRNT,SLM SOLUTIONS GROUP AG,AM3D,1137823.0,28193283.03,4.06
2021-02-19 00:00:00,PRNT,MICROSOFT CORP,MSFT,116721.0,28126259.37,4.05
2021-02-19 00:00:00,PRNT,ANSYS INC,ANSS,68061.0,26909277.57,3.87
2021-02-19 00:00:00,PRNT,PROTO LABS INC,PRLB,150671.0,26302636.47,3.78
2021-02-19 00:00:00,PRNT,TRIMBLE INC,TRMB,359599.0,26247131.01,3.78
2021-02-19 00:00:00,PRNT,ALTAIR ENGINEERING INC - A,ALTR,413569.0,26087932.52,3.75
2021-02-19 00:00:00,PRNT,MATERIALISE NV-ADR,MTLS,386771.0,25650652.72,3.69
2021-02-19 00:00:00,PRNT,AUTODESK INC,ADSK,80215.0,24497661.0,3.52
2021-02-19 00:00:00,PRNT,FARO TECHNOLOGIES INC,FARO,97984.0,9034124.8,1.3
2021-02-19 00:00:00,PRNT,ALIGN TECHNOLOGY INC,ALGN,13057.0,7824407.25,1.13
2021-02-19 00:00:00,PRNT,AMETEK INC,AME,60227.0,7279035.22,1.05
2021-02-19 00:00:00,PRNT,HEXAGON AB-B SHS,HEXAB,81329.0,7171003.24,1.03
2021-02-19 00:00:00,PRNT,ULTRA CLEAN HOLDINGS INC,UCTT,127917.0,6505858.62,0.94
2021-02-19 00:00:00,PRNT,BERTRANDT AG,BDT,96832.0,5913261.28,0.85
2021-02-19 00:00:00,PRNT,KAISER ALUMINUM CORP,KALU,49218.0,5681233.74,0.82
2021-02-19 00:00:00,PRNT,SIEMENS AG-REG,SIE,35142.0,5640978.24,0.81
2021-02-19 00:00:00,PRNT,OC OERLIKON CORP AG-REG,OERL,494343.0,5584270.52,0.8
2021-02-19 00:00:00,PRNT,MICHELIN (CGDE),ML,38541.0,5559426.71,0.8
2021-02-19 00:00:00,PRNT,GENERAL ELECTRIC CO,GE,446509.0,5367038.18,0.77
2021-02-19 00:00:00,PRNT,AEROJET ROCKETDYNE HOLDINGS,AJRD,96263.0,5044181.2,0.73
2021-02-19 00:00:00,PRNT,MOOG INC-CLASS A,MOG/A,62713.0,4979412.2,0.72
