date,fund,company,ticker,shares,value,stockPrice,weight,deltaShares,flowValue,deltaValue,deltaPrice,deltaPricePercent,deltaWeight,action
1/11/2021,ARKF,SQUARE INC - A,SQ,1013422.0,228.53,225.5,0.1015,24213.0,5.46,-10.32,-15.95,-0.0661,-0.0514,Buy
1/11/2021,ARKF,ZILLOW GROUP INC - C,Z,737257.0,105.57,143.19,0.0469,17619.0,2.52,1.5,-1.42,-0.0098,0.0064,Buy
1/11/2021,ARKF,MERCADOLIBRE INC,MELI,59254.0,104.38,1761.55,0.0464,1407.0,2.48,4.94,42.55,0.0248,0.0427,Buy
1/11/2021,ARKF,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,1268394.0,96.08,75.75,0.0427,30303.0,2.3,0.82,-1.19,-0.0155,0.0,Buy
1/11/2021,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,814784.0,95.86,117.65,0.0426,19467.0,2.29,2.31,0.02,0.0002,0.0167,Buy
1/11/2021,ARKF,PINTEREST INC- CLASS A,PINS,1266107.0,90.78,71.7,0.0403,30261.0,2.17,1.96,-0.17,-0.0024,0.0126,Buy
1/11/2021,ARKF,SEA LTD-ADR,SE,397949.0,83.2,209.06,0.037,9513.0,1.99,1.56,-1.1,-0.0052,0.0109,Buy
1/11/2021,ARKF,PAYPAL HOLDINGS INC,PYPL,348920.0,82.87,237.5,0.0368,8337.0,1.98,0.29,-4.96,-0.0205,-0.0054,Buy
1/11/2021,ARKF,ADYEN NV,ADYEN,35194.0,74.64,2120.69,0.0332,840.0,1.78,0.86,-26.73,-0.0124,0.0061,Buy
1/11/2021,ARKF,MEITUAN-CLASS B,3690,1585015.0,63.27,39.92,0.0281,37800.0,1.51,-0.16,-1.08,-0.0263,-0.0106,Buy
1/11/2021,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,276516.0,62.87,227.37,0.0279,6615.0,1.5,-0.88,-8.82,-0.0373,-0.0245,Buy
1/11/2021,ARKF,TWILIO INC - A,TWLO,163989.0,59.37,362.01,0.0264,3927.0,1.42,1.7,1.74,0.0048,0.0233,Buy
1/11/2021,ARKF,SNAP INC - A,SNAP,1048495.0,57.02,54.38,0.0253,25053.0,1.36,3.05,1.65,0.0313,0.0455,Buy
1/11/2021,ARKF,AMAZON.COM INC,AMZN,17706.0,55.14,3114.21,0.0245,420.0,1.31,0.12,-68.49,-0.0215,-0.0041,Buy
1/11/2021,ARKF,DOCUSIGN INC,DOCU,222293.0,53.56,240.96,0.0238,5313.0,1.28,0.5,-3.58,-0.0146,0.0,Buy
1/11/2021,ARKF,LIGHTSPEED POS INC-SUB VOTE,LSPD,719396.0,48.33,67.18,0.0215,16800.0,1.13,0.69,-0.63,-0.0093,0.0094,Buy
1/11/2021,ARKF,APPLE INC,AAPL,375019.0,48.37,128.98,0.0215,8967.0,1.16,0.03,-3.07,-0.0232,-0.0046,Buy
1/11/2021,ARKF,SHOPIFY INC - CLASS A,SHOP,39443.0,46.45,1177.64,0.0206,945.0,1.11,0.68,-11.28,-0.0095,0.0049,Buy
1/11/2021,ARKF,Z HOLDINGS CORP,4689,6896007.0,46.0,6.67,0.0204,80000.0,0.53,0.44,-0.01,-0.0015,0.0,Buy
1/11/2021,ARKF,SILVERGATE CAPITAL CORP-CL A,SI,687137.0,45.39,66.05,0.0202,16422.0,1.08,-4.33,-8.08,-0.109,-0.0942,Buy
1/11/2021,ARKF,WORKDAY INC-CLASS A,WDAY,181556.0,41.55,228.83,0.0185,4347.0,0.99,1.2,1.18,0.0052,0.0221,Buy
1/11/2021,ARKF,FACEBOOK INC-CLASS A,FB,161728.0,41.54,256.84,0.0185,3864.0,0.99,-0.7,-10.73,-0.0401,-0.0212,Buy
1/11/2021,ARKF,SPLUNK INC,SPLK,243636.0,40.57,166.51,0.018,5817.0,0.97,1.23,1.11,0.0067,0.0227,Buy
1/11/2021,ARKF,ZHONGAN ONLINE P&C INSURAN-H,6060,8600945.0,39.48,4.59,0.0175,205800.0,0.94,-0.46,-0.17,-0.0357,-0.0223,Buy
1/11/2021,ARKF,INTUIT INC,INTU,97523.0,36.31,372.34,0.0161,2331.0,0.87,0.67,-2.12,-0.0057,0.0062,Buy
1/11/2021,ARKF,PINDUODUO INC-ADR,PDD,201541.0,34.76,172.49,0.0154,4809.0,0.83,-0.8,-8.28,-0.0458,-0.0314,Buy
1/11/2021,ARKF,TAIWAN SEMICONDUCTOR-SP ADR,TSM,276143.0,33.86,122.6,0.015,6615.0,0.81,1.86,3.91,0.0329,0.049,Buy
1/11/2021,ARKF,SCHWAB (CHARLES) CORP,SCHW,530624.0,31.97,60.25,0.0142,12684.0,0.76,1.42,1.27,0.0215,0.0365,Buy
1/11/2021,ARKF,GUIDEWIRE SOFTWARE INC,GWRE,237918.0,31.03,130.44,0.0138,5691.0,0.74,0.63,-0.48,-0.0037,0.0147,Buy
1/11/2021,ARKF,TCS GROUP HOLDING-GDR REG S,TCS LI,747590.0,29.68,39.7,0.0132,17871.0,0.71,1.11,0.55,0.014,0.0312,Buy
1/11/2021,ARKF,OPENDOOR TECHNOLOGIES INC,OPEN,1095860.0,28.74,26.23,0.0128,26187.0,0.69,0.09,-0.56,-0.0209,0.0,Buy
