date,fund,company,ticker,shares,value,stockPrice,weight,deltaShares,flowValue,deltaValue,deltaPrice,deltaPricePercent,deltaWeight,action
1/11/2021,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,19341312.0,662.63,34.26,0.0696,-626054.0,-21.45,-70.17,-2.44,-0.0665,-0.1054,Sell
1/11/2021,ARKG,TELADOC HEALTH INC,TDOC,2687892.0,593.65,220.86,0.0624,34155.0,7.54,-10.82,-6.92,-0.0304,-0.028,Buy
1/11/2021,ARKG,TWIST BIOSCIENCE CORP,TWST,3304781.0,562.84,170.31,0.0591,41998.0,7.15,19.55,3.8,0.0228,0.0243,Buy
1/11/2021,ARKG,CAREDX INC,CDNA,4457140.0,359.65,80.69,0.0378,56649.0,4.57,4.26,-0.07,-0.0009,0.0027,Buy
1/11/2021,ARKG,FATE THERAPEUTICS INC,FATE,3183784.0,356.62,112.01,0.0375,40457.0,4.53,-8.98,-4.3,-0.037,-0.0335,Buy
1/11/2021,ARKG,REGENERON PHARMACEUTICALS,REGN,701353.0,352.72,502.92,0.0371,92967.0,46.75,49.3,4.19,0.0084,0.1522,Buy
1/11/2021,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,6457493.0,329.91,51.09,0.0347,82087.0,4.19,7.83,0.57,0.0113,0.0146,Buy
1/11/2021,ARKG,EXACT SCIENCES CORP,EXAS,2256529.0,324.94,144.0,0.0341,28681.0,4.13,32.87,12.9,0.0984,0.1,Buy
1/11/2021,ARKG,ROCHE HOLDINGS LTD-SPONS ADR,RHHBY,6583385.0,288.55,43.83,0.0303,83674.0,3.67,11.4,1.19,0.0279,0.0306,Buy
1/11/2021,ARKG,NOVARTIS AG-SPONSORED ADR,NVS,2563117.0,241.93,94.39,0.0254,32591.0,3.08,3.96,0.35,0.0037,0.004,Buy
1/11/2021,ARKG,VERTEX PHARMACEUTICALS INC,VRTX,993265.0,233.06,234.64,0.0245,108585.0,25.48,23.39,-2.36,-0.01,0.0987,Buy
1/11/2021,ARKG,TAKEDA PHARMACEUTIC-SP ADR,TAK UN,11829668.0,216.72,18.32,0.0228,1423571.0,26.08,26.81,0.07,0.0038,0.1287,Buy
1/11/2021,ARKG,INCYTE CORP,INCY,1956007.0,182.53,93.32,0.0192,24863.0,2.32,1.34,-0.51,-0.0054,0.0,Buy
1/11/2021,ARKG,ALPHABET INC-CL A,GOOGL,103320.0,181.46,1756.29,0.0191,1311.0,2.3,-1.93,-41.54,-0.0231,-0.0205,Buy
1/11/2021,ARKG,BERKELEY LIGHTS INC,BLI,1995446.0,178.11,89.26,0.0187,25369.0,2.26,3.07,0.41,0.0046,0.0054,Buy
1/11/2021,ARKG,MORGAN STANLEY GOVT INSTL 8035,,175787416.48,175.79,1.0,0.0185,34883203.8,34.88,34.88,0.0,0.0,0.2333,Buy
1/11/2021,ARKG,CASTLE BIOSCIENCES INC,CSTL,2270315.0,173.72,76.52,0.0183,28865.0,2.21,-4.72,-3.09,-0.0388,-0.0368,Buy
1/11/2021,ARKG,IONIS PHARMACEUTICALS INC,IONS,2634277.0,163.59,62.1,0.0172,33488.0,2.08,4.84,1.06,0.0174,0.0178,Buy
1/11/2021,ARKG,SCHRODINGER INC,SDGR,1531485.0,133.99,87.49,0.0141,19458.0,1.7,-0.44,-1.42,-0.016,-0.014,Buy
1/11/2021,ARKG,ACCOLADE INC,ACCD,2677395.0,124.71,46.58,0.0131,34040.0,1.59,-6.58,-3.09,-0.0622,-0.0576,Buy
1/11/2021,ARKG,VEEVA SYSTEMS INC-CLASS A,VEEV,409260.0,117.81,287.87,0.0124,5198.0,1.5,1.23,-0.67,-0.0023,0.0,Buy
1/11/2021,ARKG,BEAM THERAPEUTICS INC,BEAM,1242066.0,116.85,94.08,0.0123,15801.0,1.49,-7.82,-7.59,-0.0747,-0.0682,Buy
1/11/2021,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,1695866.0,106.48,62.79,0.0112,21551.0,1.35,5.56,2.51,0.0416,0.0467,Buy
1/11/2021,ARKG,THERMO FISHER SCIENTIFIC INC,TMO,207986.0,106.77,513.35,0.0112,2645.0,1.36,1.57,1.05,0.002,0.0,Buy
1/11/2021,ARKG,SAREPTA THERAPEUTICS INC,SRPT,1123141.0,100.81,89.76,0.0106,14283.0,1.28,9.57,7.47,0.0908,0.0928,Buy
1/11/2021,ARKG,CODEXIS INC,CDXS,4348646.0,98.54,22.66,0.0104,55269.0,1.25,-2.61,-0.9,-0.0382,-0.028,Buy
1/11/2021,ARKG,10X GENOMICS INC-CLASS A,TXG,585458.0,98.06,167.5,0.0103,7452.0,1.25,5.95,8.13,0.051,0.051,Buy
1/11/2021,ARKG,GUARDANT HEALTH INC,GH,593126.0,91.68,154.57,0.0096,7544.0,1.17,8.02,11.7,0.0819,0.0787,Buy
1/11/2021,ARKG,PHREESIA INC,PHR,1444427.0,83.2,57.6,0.0087,18354.0,1.06,1.6,0.38,0.0066,0.0,Buy
1/11/2021,ARKG,NANOSTRING TECHNOLOGIES INC,NSTG,1118870.0,77.25,69.04,0.0081,14214.0,0.98,4.38,3.08,0.0467,0.0519,Buy
1/11/2021,ARKG,BRISTOL-MYERS SQUIBB CO,BMY,700044.0,45.48,64.97,0.0048,700044.0,45.48,45.48,,,,Enter
1/11/2021,ARKG,REPARE THERAPEUTICS INC,RPTX,858284.0,36.18,42.15,0.0038,10902.0,0.46,0.08,-0.45,-0.0106,0.0,Buy
1/11/2021,ARKG,SURFACE ONCOLOGY INC,SURF,3018112.0,33.98,11.26,0.0036,38364.0,0.43,2.1,0.56,0.0523,0.0588,Buy
1/11/2021,ARKG,LONGVIEW ACQUISITION CORP-A,LGVW,1655320.0,33.22,20.07,0.0035,21045.0,0.42,-0.04,-0.28,-0.0138,0.0,Buy
1/11/2021,ARKG,908 DEVICES INC,MASS,481138.0,27.25,56.63,0.0029,6118.0,0.35,2.11,3.72,0.0703,0.0741,Buy
