date,fund,company,ticker,shares,value,stockPrice,weight,deltaShares,flowValue,deltaValue,deltaPrice,deltaPricePercent,deltaWeight,action
2021-01-08,ARKK,MORGAN STANLEY GOVT INSTL 8035,NA,97372779.33,97.37,1,0.0046,-31787381.85,-31.79,-31.79,0,0,-0.2813,Sell
2021-01-08,ARKK,COMPUGEN LTD,CGEN,10671629,142.15,13.32,0.0067,-113200,-1.51,-0.54,0.09,0.0068,-0.0563,Sell
2021-01-08,ARKK,SERES THERAPEUTICS INC,MCRB,8271847,228.3,27.6,0.0108,-72313,-2,-5.67,-0.44,-0.0157,-0.069,Sell
2021-01-08,ARKK,VERACYTE INC,VCYT,4861993,252.78,51.99,0.012,-66092,-3.44,3.41,1.39,0.0275,-0.0323,Sell
2021-01-08,ARKK,ORGANOVO HOLDINGS INC,ONVO,781085,9.98,12.78,5e-4,-39991,-0.51,-0.24,0.33,0.0265,0,Sell
2021-01-08,ARKK,INTELLIA THERAPEUTICS INC,NTLA,6459007,506.13,78.36,0.0239,-29306,-2.3,3.41,0.88,0.0114,-0.044,Sell
2021-01-08,ARKK,FATE THERAPEUTICS INC,FATE,258686,30.09,116.31,0.0014,7568,0.88,0.65,-0.91,-0.0078,-0.0667,Buy
2021-01-08,ARKK,SHOPIFY INC - CLASS A,SHOP,345431,410.69,1188.92,0.0194,10120,12.03,21.89,29.39,0.0253,0.0052,Buy
2021-01-08,ARKK,TESLA INC,TSLA,2619557,2305.26,880.02,0.109,18908,16.64,183.03,63.98,0.0784,0.0342,Buy
2021-01-08,ARKK,SYNOPSYS INC,SNPS,695114,182.68,262.8,0.0086,20328,5.34,8.01,3.96,0.0153,-0.0115,Buy
2021-01-08,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,847820,296.41,349.61,0.014,24816,8.68,14.53,7.11,0.0208,0,Buy
2021-01-08,ARKK,SEA LTD-ADR,SE,903003,189.78,210.16,0.009,26400,5.55,11,6.22,0.0305,0.0112,Buy
2021-01-08,ARKK,SPLUNK INC,SPLK,1115267,184.47,165.4,0.0087,32648,5.4,7.95,2.36,0.0145,-0.0114,Buy
2021-01-08,ARKK,TWILIO INC - A,TWLO,1211272,436.38,360.27,0.0206,35464,12.78,16.45,3.12,0.0087,-0.0096,Buy
2021-01-08,ARKK,DOCUSIGN INC,DOCU,1596615,390.44,244.54,0.0185,46728,11.43,19.97,5.51,0.0231,0.0054,Buy
2021-01-08,ARKK,PAYPAL HOLDINGS INC,PYPL,1614554,391.46,242.46,0.0185,47256,11.46,23.09,7.42,0.0316,0.0109,Buy
2021-01-08,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,1631785,576.2,353.11,0.0273,47784,16.87,51.33,21.75,0.0656,0.046,Buy
2021-01-08,ARKK,UNITY SOFTWARE INC,U,1652719,241.63,146.2,0.0114,48312,7.06,19.3,7.63,0.0551,0.0364,Buy
2021-01-08,ARKK,NANOSTRING TECHNOLOGIES INC,NSTG,2407871,158.82,65.96,0.0075,55274,3.65,3.34,-0.13,-0.002,-0.026,Buy
2021-01-08,ARKK,BAIDU INC - SPON ADR,BIDU,2039506,489.99,240.25,0.0232,59664,14.33,78.4,32.36,0.1557,0.1373,Buy
2021-01-08,ARKK,PINTEREST INC- CLASS A,PINS,2354818,169.24,71.87,0.008,68904,4.95,6.07,0.49,0.0069,-0.0123,Buy
2021-01-08,ARKK,TWIST BIOSCIENCE CORP,TWST,2640177,439.62,166.51,0.0208,77264,12.87,37.32,9.54,0.0608,0.04,Buy
2021-01-08,ARKK,INTERCONTINENTAL EXCHANGE IN,ICE,2748029,323.25,117.63,0.0153,80432,9.46,14.32,1.82,0.0157,0,Buy
2021-01-08,ARKK,TAIWAN SEMICONDUCTOR-SP ADR,TSM,2889022,342.9,118.69,0.0162,84568,10.04,2.35,-2.74,-0.0226,-0.0414,Buy
2021-01-08,ARKK,NINTENDO CO LTD-UNSPONS ADR,NTDOY,3217781,257.58,80.05,0.0122,94160,7.54,10.79,1.04,0.0132,-0.0081,Buy
2021-01-08,ARKK,ROKU INC,ROKU,3905644,1558.86,399.13,0.0737,114312,45.63,120.85,19.84,0.0523,0.0322,Buy
2021-01-08,ARKK,TELADOC HEALTH INC,TDOC,4109341,936.03,227.78,0.0443,120208,27.38,23.39,-1,-0.0044,-0.0221,Buy
2021-01-08,ARKK,ZILLOW GROUP INC - C,Z,4455565,644.32,144.61,0.0305,130328,18.85,30.18,2.62,0.0185,0,Buy
2021-01-08,ARKK,SQUARE INC - A,SQ,4537810,1095.65,241.45,0.0518,132792,32.06,40.74,1.97,0.0082,-0.0115,Buy
2021-01-08,ARKK,KE HOLDINGS INC,BEKE,4595028,299.96,65.28,0.0142,134464,8.78,19.13,2.32,0.0368,0.0216,Buy
2021-01-08,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,5002026,216.09,43.2,0.0102,146344,6.32,9.19,0.59,0.0138,-0.0097,Buy
2021-01-08,ARKK,EXACT SCIENCES CORP,EXAS,3080658,403.87,131.1,0.0191,189998,24.91,26.07,0.4,0.0031,0.016,Buy
2021-01-08,ARKK,HUYA INC-ADR,HUYA,6613490,139.48,21.09,0.0066,193512,4.08,5.24,0.18,0.0086,-0.0149,Buy
2021-01-08,ARKK,10X GENOMICS INC-CLASS A,TXG,835130,133.09,159.37,0.0063,223198,35.57,35.93,0.58,0.0037,0.3125,Buy
2021-01-08,ARKK,NOVARTIS AG-SPONSORED ADR,NVS,276173,25.97,94.04,0.0012,226069,21.26,21.29,0.64,0.0069,5,Buy
2021-01-08,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,9136769,461.59,50.52,0.0218,267344,13.51,26.99,1.52,0.031,0.0093,Buy
2021-01-08,ARKK,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,2963163,227.99,76.94,0.0108,267624,20.59,31.62,4.09,0.0561,0.1134,Buy
