date,fund,company,ticker,shares,value,stockPrice,weight,deltaShares,flowValue,deltaValue,deltaPrice,deltaPricePercent,deltaWeight,action
1/11/2021,ARKQ,TESLA INC,TSLA,326879.0,265.16,811.19,0.1197,9315.0,7.56,-14.3,-68.83,-0.0782,-0.059,Buy
1/11/2021,ARKQ,TRIMBLE INC,TRMB,1513871.0,110.63,73.08,0.05,43170.0,3.15,4.27,0.76,0.0105,0.0331,Buy
1/11/2021,ARKQ,DEERE & CO,DE,327709.0,96.65,294.92,0.0436,9345.0,2.76,3.08,1.01,0.0034,0.0235,Buy
1/11/2021,ARKQ,JD.COM INC-ADR,JD,886140.0,80.09,90.38,0.0362,25275.0,2.28,1.29,-1.16,-0.0127,0.0084,Buy
1/11/2021,ARKQ,ALPHABET INC-CL C,GOOG,43551.0,76.94,1766.72,0.0347,1245.0,2.2,0.49,-40.49,-0.0224,-0.0029,Buy
1/11/2021,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,2807969.0,74.02,26.36,0.0334,80085.0,2.11,1.54,-0.21,-0.0079,0.0121,Buy
1/11/2021,ARKQ,BAIDU INC - SPON ADR,BIDU,334280.0,73.39,219.55,0.0331,9540.0,2.09,-4.63,-20.7,-0.0862,-0.0676,Buy
1/11/2021,ARKQ,IRIDIUM COMMUNICATIONS INC,IRDM,1633539.0,70.32,43.05,0.0318,46590.0,2.01,1.77,-0.15,-0.0035,0.0192,Buy
1/11/2021,ARKQ,TAIWAN SEMICONDUCTOR-SP ADR,TSM,566413.0,69.44,122.6,0.0314,16155.0,1.98,4.13,3.91,0.0329,0.0572,Buy
1/11/2021,ARKQ,NXP SEMICONDUCTORS NV,NXPI,385213.0,66.72,173.21,0.0301,10980.0,1.9,1.22,-1.82,-0.0104,0.0101,Buy
1/11/2021,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,1019486.0,65.71,64.45,0.0297,29070.0,1.87,3.6,1.74,0.0277,0.0495,Buy
1/11/2021,ARKQ,FLIR SYSTEMS INC,FLIR,1082996.0,57.55,53.14,0.026,-160774.0,-8.54,-7.91,0.51,0.0097,-0.1275,Sell
1/11/2021,ARKQ,CATERPILLAR INC,CAT,294404.0,57.07,193.86,0.0258,8400.0,1.63,1.51,-0.4,-0.0021,0.0198,Buy
1/11/2021,ARKQ,WORKHORSE GROUP INC,WKHS,2179802.0,56.15,25.76,0.0254,62160.0,1.6,2.01,0.2,0.0078,0.0325,Buy
1/11/2021,ARKQ,NANO DIMENSION LTD - ADR,NNDM,5629727.0,52.3,9.29,0.0236,160560.0,1.49,2.37,0.16,0.0175,0.0396,Buy
1/11/2021,ARKQ,KOMATSU LTD -SPONS ADR,KMTUY,1759096.0,51.81,29.45,0.0234,50160.0,1.48,0.61,-0.51,-0.017,0.0043,Buy
1/11/2021,ARKQ,AEROVIRONMENT INC,AVAV,479686.0,44.68,93.14,0.0202,13680.0,1.27,1.48,0.45,0.0049,0.0254,Buy
1/11/2021,ARKQ,VIRGIN GALACTIC HOLDINGS INC,SPCE,1587258.0,39.55,24.92,0.0179,45270.0,1.13,0.67,-0.3,-0.0119,0.0113,Buy
1/11/2021,ARKQ,NIU TECHNOLOGIES-SPONS ADR,NIU,1046885.0,38.25,36.54,0.0173,29850.0,1.09,2.22,1.11,0.0313,0.0549,Buy
1/11/2021,ARKQ,SYNOPSYS INC,SNPS,146243.0,38.09,260.43,0.0172,4170.0,1.09,0.75,-2.37,-0.009,0.0118,Buy
1/11/2021,ARKQ,TERADYNE INC,TER,280767.0,38.1,135.7,0.0172,8010.0,1.09,2.06,3.55,0.0269,0.0488,Buy
1/11/2021,ARKQ,MAGNA INTERNATIONAL INC,MGA,422474.0,31.56,74.7,0.0143,12045.0,0.9,0.43,-1.15,-0.0152,0.007,Buy
1/11/2021,ARKQ,XILINX INC,XLNX,193537.0,29.24,151.08,0.0132,5520.0,0.83,1.41,3.09,0.0209,0.0394,Buy
1/11/2021,ARKQ,NVIDIA CORP,NVDA,53137.0,28.95,544.86,0.0131,1515.0,0.83,1.54,13.79,0.026,0.048,Buy
1/11/2021,ARKQ,ANSYS INC,ANSS,75248.0,28.09,373.33,0.0127,2145.0,0.8,0.7,-1.33,-0.0035,0.016,Buy
1/11/2021,ARKQ,RAVEN INDUSTRIES INC,RAVN,694693.0,25.47,36.66,0.0115,19815.0,0.73,1.01,0.42,0.0116,0.036,Buy
1/11/2021,ARKQ,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,329476.0,24.96,75.75,0.0113,9405.0,0.71,0.33,-1.19,-0.0155,0.0089,Buy
1/11/2021,ARKQ,INTUITIVE SURGICAL INC,ISRG,30510.0,24.82,813.65,0.0112,870.0,0.71,0.56,-5.1,-0.0062,0.0182,Buy
1/11/2021,ARKQ,AMAZON.COM INC,AMZN,7395.0,23.03,3114.21,0.0104,210.0,0.65,0.16,-68.49,-0.0215,0.0,Buy
1/11/2021,ARKQ,APPLE INC,AAPL,174614.0,22.52,128.98,0.0102,4980.0,0.64,0.12,-3.07,-0.0232,0.0,Buy
1/11/2021,ARKQ,ROCKWELL AUTOMATION INC,ROK,86249.0,22.65,262.59,0.0102,2460.0,0.65,0.71,0.78,0.003,0.02,Buy
1/11/2021,ARKQ,LOCKHEED MARTIN CORP,LMT,64400.0,21.75,337.68,0.0098,64400.0,21.75,21.75,,,,Enter
1/11/2021,ARKQ,AUTODESK INC,ADSK,65344.0,20.77,317.81,0.0094,1860.0,0.59,0.46,-2.04,-0.0064,0.0217,Buy
1/11/2021,ARKQ,ELBIT SYSTEMS LTD,ESLT,151940.0,19.98,131.5,0.009,4882.0,0.64,1.06,2.82,0.0219,0.0465,Buy
1/11/2021,ARKQ,MORGAN STANLEY GOVT INSTL 8035,,17744651.47,17.74,1.0,0.008,-3568152.09,-3.57,-3.57,0.0,0.0,-0.1753,Sell
1/11/2021,ARKQ,SPLUNK INC,SPLK,59367.0,9.89,166.51,0.0045,-80854.0,-13.46,-13.31,1.11,0.0067,-0.5755,Sell
1/11/2021,ARKQ,HONEYWELL INTERNATIONAL INC,HON,44196.0,9.21,208.36,0.0042,1260.0,0.26,0.19,-1.67,-0.008,0.0244,Buy
1/11/2021,ARKQ,TELEDYNE TECHNOLOGIES INC,TDY,23530.0,8.76,372.19,0.004,23530.0,8.76,8.76,,,,Enter
1/11/2021,ARKQ,EXPERIENCE INVESTMENT-A,EXPC,50660.0,0.65,12.85,0.0003,50660.0,0.65,0.65,,,,Enter
