date,fund,company,ticker,shares,value,stockPrice,weight,deltaShares,flowValue,deltaValue,deltaPrice,deltaPricePercent,deltaWeight,action
1/12/2021,ARKW,TESLA INC,TSLA,717948.0,609.85,849.44,0.0999,-7318.0,-6.22,21.53,38.25,0.0472,-0.007,Sell
1/12/2021,ARKW,ROKU INC,ROKU,873494.0,362.75,415.29,0.0594,11390.0,4.73,15.21,12.16,0.0302,0.0,Buy
1/12/2021,ARKW,GRAYSCALE BITCOIN TRUST BTC,GBTC,6530419.0,254.16,38.92,0.0417,85150.0,3.31,13.11,1.52,0.0406,0.0121,Buy
1/12/2021,ARKW,SQUARE INC - A,SQ,1098486.0,249.93,227.52,0.041,14320.0,3.26,5.45,2.02,0.009,-0.0191,Buy
1/12/2021,ARKW,TELADOC HEALTH INC,TDOC,994268.0,228.77,230.09,0.0375,12960.0,2.98,12.04,9.23,0.0418,0.0108,Buy
1/12/2021,ARKW,SPOTIFY TECHNOLOGY SA,SPOT,563072.0,195.39,347.01,0.032,7340.0,2.55,4.18,2.94,0.0085,-0.0214,Buy
1/12/2021,ARKW,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,2454437.0,187.06,76.22,0.0307,32000.0,2.44,3.57,0.47,0.0062,-0.0223,Buy
1/12/2021,ARKW,SNAP INC - A,SNAP,2515805.0,142.02,56.45,0.0233,32800.0,1.85,6.99,2.07,0.0381,0.0087,Buy
1/12/2021,ARKW,PINTEREST INC- CLASS A,PINS,1838046.0,137.98,75.07,0.0226,23970.0,1.8,7.91,3.37,0.047,0.018,Buy
1/12/2021,ARKW,SEA LTD-ADR,SE,594442.0,129.87,218.48,0.0213,7750.0,1.69,7.22,9.42,0.0451,0.0143,Buy
1/12/2021,ARKW,FACEBOOK INC-CLASS A,FB,512462.0,128.67,251.09,0.0211,6680.0,1.68,-1.23,-5.75,-0.0224,-0.0495,Buy
1/12/2021,ARKW,INTERCONTINENTAL EXCHANGE IN,ICE,1058511.0,124.76,117.86,0.0204,13800.0,1.63,1.85,0.21,0.0018,-0.0286,Buy
1/12/2021,ARKW,PAYPAL HOLDINGS INC,PYPL,519637.0,123.49,237.64,0.0202,6780.0,1.61,1.68,0.14,0.0006,-0.0288,Buy
1/12/2021,ARKW,ZILLOW GROUP INC - C,Z,834123.0,122.05,146.32,0.02,10880.0,1.59,4.17,3.13,0.0219,-0.0099,Buy
1/12/2021,ARKW,NETFLIX INC,NFLX,244563.0,120.88,494.25,0.0198,3190.0,1.58,0.41,-4.85,-0.0097,-0.0388,Buy
1/12/2021,ARKW,SHOPIFY INC - CLASS A,SHOP,98877.0,117.49,1188.24,0.0193,1290.0,1.53,2.57,10.6,0.009,-0.0203,Buy
1/12/2021,ARKW,ZOOM VIDEO COMMUNICATIONS-A,ZM,324603.0,115.82,356.81,0.019,91976.0,32.82,37.26,19.1,0.0566,0.4179,Buy
1/12/2021,ARKW,TWILIO INC - A,TWLO,303454.0,113.84,375.15,0.0187,3960.0,1.49,5.42,13.14,0.0363,0.0108,Buy
1/12/2021,ARKW,DOCUSIGN INC,DOCU,426198.0,111.94,262.65,0.0183,5560.0,1.46,10.58,21.69,0.09,0.0578,Buy
1/12/2021,ARKW,FASTLY INC - CLASS A,FSLY,1213010.0,108.71,89.62,0.0178,15820.0,1.42,6.84,4.53,0.0532,0.023,Buy
1/12/2021,ARKW,OPENDOOR TECHNOLOGIES INC,OPEN,3742034.0,103.65,27.7,0.017,48800.0,1.35,6.78,1.47,0.056,0.0241,Buy
1/12/2021,ARKW,HUYA INC-ADR,HUYA,4643510.0,97.14,20.92,0.0159,60550.0,1.27,2.0,0.16,0.0077,-0.0245,Buy
1/12/2021,ARKW,BAIDU INC - SPON ADR,BIDU,399301.0,95.61,239.45,0.0157,67022.0,16.05,22.66,19.9,0.0906,0.256,Buy
1/12/2021,ARKW,KE HOLDINGS INC,BEKE,1360021.0,89.75,65.99,0.0147,17730.0,1.17,3.45,1.7,0.0264,-0.0068,Buy
1/12/2021,ARKW,NVIDIA CORP,NVDA,163397.0,88.13,539.39,0.0144,2130.0,1.15,0.27,-5.47,-0.01,-0.04,Buy
1/12/2021,ARKW,MERCADOLIBRE INC,MELI,47708.0,86.36,1810.09,0.0142,620.0,1.12,3.41,48.54,0.0276,0.0,Buy
