date,fund,company,ticker,shares,market value($),weight(%)
2021-04-01,ARKG,10X GENOMICS INC-CLASS A,TXG,1157002.0,209417362.0,2.22
2021-04-01,ARKG,1LIFE HEALTHCARE INC,ONEM,1092926.0,42711548.08,0.45
2021-04-01,ARKG,908 DEVICES INC,MASS,1078494.0,52306959.0,0.55
2021-04-01,ARKG,ABBVIE INC,ABBV,550554.0,59580953.88,0.63
2021-04-01,ARKG,ACCOLADE INC,ACCD,5313688.0,241082024.56,2.55
2021-04-01,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,3460156.0,139305880.56,1.48
2021-04-01,ARKG,AQUABOUNTY TECHNOLOGIES,AQB,7247378.0,48557432.6,0.51
2021-04-01,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,3308922.0,136658478.6,1.45
2021-04-01,ARKG,BEAM THERAPEUTICS INC,BEAM,1782466.0,142668578.64,1.51
2021-04-01,ARKG,BERKELEY LIGHTS INC,BLI,2899835.0,145658712.05,1.54
2021-04-01,ARKG,BRISTOL-MYERS SQUIBB CO,BMY,2168018.0,136866976.34,1.45
2021-04-01,ARKG,BUTTERFLY NETWORK INC,BFLY,5886865.0,99075937.95,1.05
2021-04-01,ARKG,CAREDX INC,CDNA,4438213.0,302197923.17,3.2
2021-04-01,ARKG,CASTLE BIOSCIENCES INC,CSTL,2584420.0,176929393.2,1.87
2021-04-01,ARKG,CELLECTIS - ADR,CLLS,5075472.0,102575289.12,1.09
2021-04-01,ARKG,CERUS CORP,CERS,6856361.0,41206729.61,0.44
2021-04-01,ARKG,CM LIFE SCIENCES INC-CLASS A,CMLF,4210491.0,62694210.99,0.66
2021-04-01,ARKG,CODEXIS INC,CDXS,6251044.0,143086397.16,1.52
2021-04-01,ARKG,COMPUGEN LTD,CGEN,4810529.0,41322444.11,0.44
2021-04-01,ARKG,CRISPR THERAPEUTICS AG,CRSP,1939956.0,236383638.6,2.5
2021-04-01,ARKG,EDITAS MEDICINE INC,EDIT,1523599.0,63991158.0,0.68
2021-04-01,ARKG,EVOGENE LTD,EVGN,3853723.0,19422763.92,0.21
2021-04-01,ARKG,EXACT SCIENCES CORP,EXAS,3662960.0,482704868.8,5.11
2021-04-01,ARKG,FATE THERAPEUTICS INC,FATE,3755311.0,309625391.95,3.28
2021-04-01,ARKG,GUARDANT HEALTH INC,GH,699735.0,106814547.75,1.13
2021-04-01,ARKG,INCYTE CORP,INCY,2973933.0,241691534.91,2.56
2021-04-01,ARKG,INTELLIA THERAPEUTICS INC,NTLA,1832012.0,147028123.06,1.56
2021-04-01,ARKG,INVITAE CORP,NVTA,5196693.0,198565639.53,2.1
2021-04-01,ARKG,IONIS PHARMACEUTICALS INC,IONS,5117799.0,230096243.04,2.44
2021-04-01,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,7616789.0,241147539.74,2.55
2021-04-01,ARKG,MORGAN STANLEY GOVT INSTL 8035,,13552119.05,13552119.05,0.14
2021-04-01,ARKG,NANOSTRING TECHNOLOGIES INC,NSTG,1319747.0,86720575.37,0.92
2021-04-01,ARKG,NOVARTIS AG-SPONSORED ADR,NVS,4334730.0,370532720.4,3.92
2021-04-01,ARKG,ORGANOVO HOLDINGS INC,ONVO ,314615.0,3032888.6,0.03
2021-04-01,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,14204625.0,473156058.75,5.01
2021-04-01,ARKG,PERSONALIS INC,PSNL,5667149.0,139468536.89,1.48
2021-04-01,ARKG,PHREESIA INC,PHR,1168180.0,60862178.0,0.64
2021-04-01,ARKG,PLURISTEM THERAPEUTICS INC,PSTI,2853513.0,13611257.01,0.14
2021-04-01,ARKG,PURE STORAGE INC - CLASS A,PSTG,7323922.0,157757279.88,1.67
2021-04-01,ARKG,REGENERON PHARMACEUTICALS,REGN,934601.0,442197117.14,4.68
2021-04-01,ARKG,REPARE THERAPEUTICS INC,RPTX,1351704.0,41483795.76,0.44
2021-04-01,ARKG,ROCHE HOLDINGS LTD-SPONS ADR,RHHBY,8059821.0,326906339.76,3.46
2021-04-01,ARKG,SAREPTA THERAPEUTICS INC,SRPT,1851195.0,137969563.35,1.46
2021-04-01,ARKG,SCHRODINGER INC,SDGR,2549801.0,194524318.29,2.06
2021-04-01,ARKG,SEER INC,SEER,846020.0,42317920.4,0.45
2021-04-01,ARKG,SERES THERAPEUTICS INC,MCRB,2987389.0,61510339.51,0.65
2021-04-01,ARKG,SIGNIFY HEALTH INC -CLASS A,SGFY,1686207.0,49338416.82,0.52
2021-04-01,ARKG,SURFACE ONCOLOGY INC,SURF,4074979.0,31784836.2,0.34
2021-04-01,ARKG,SYROS PHARMACEUTICALS INC,SYRS,2481761.0,18563572.28,0.2
2021-04-01,ARKG,TAKEDA PHARMACEUTIC-SP ADR,TAK UN,18619852.0,339998497.52,3.6
2021-04-01,ARKG,TELADOC HEALTH INC,TDOC,3723762.0,676793743.5,7.17
2021-04-01,ARKG,THERMO FISHER SCIENTIFIC INC,TMO,238539.0,108864428.82,1.15
2021-04-01,ARKG,TWIST BIOSCIENCE CORP,TWST,3013035.0,373194515.1,3.95
2021-04-01,ARKG,VEEVA SYSTEMS INC-CLASS A,VEEV,834474.0,217997987.76,2.31
2021-04-01,ARKG,VERACYTE INC,VCYT,1714652.0,92162545.0,0.98
2021-04-01,ARKG,VERTEX PHARMACEUTICALS INC,VRTX,1709996.0,367461040.44,3.89
