date,fund,company,ticker,shares,market value($),weight(%)
2021-04-01,ARKK,10X GENOMICS INC-CLASS A,TXG,2044237.0,370006897.0,1.63
2021-04-01,ARKK,2U INC,TWOU,7052067.0,269600521.41,1.18
2021-04-01,ARKK,BAIDU INC - SPON ADR,BIDU,3444866.0,749430598.3,3.29
2021-04-01,ARKK,BEAM THERAPEUTICS INC,BEAM,3084179.0,246857687.16,1.08
2021-04-01,ARKK,BERKELEY LIGHTS INC,BLI,2273703.0,114208101.69,0.5
2021-04-01,ARKK,CERUS CORP,CERS,16688873.0,100300126.73,0.44
2021-04-01,ARKK,COMPUGEN LTD,CGEN,8780311.0,75422871.49,0.33
2021-04-01,ARKK,CRISPR THERAPEUTICS AG,CRSP,5314530.0,647575480.5,2.85
2021-04-01,ARKK,DOCUSIGN INC,DOCU,2204232.0,446246768.4,1.96
2021-04-01,ARKK,DRAFTKINGS INC - CL A,DKNG,2130410.0,130658045.3,0.57
2021-04-01,ARKK,EDITAS MEDICINE INC,EDIT,5826793.0,244725306.0,1.08
2021-04-01,ARKK,EXACT SCIENCES CORP,EXAS,4834402.0,637077495.56,2.8
2021-04-01,ARKK,FATE THERAPEUTICS INC,FATE,2872478.0,236835811.1,1.04
2021-04-01,ARKK,HUYA INC-ADR,HUYA,6022626.0,117320754.48,0.52
2021-04-01,ARKK,INTELLIA THERAPEUTICS INC,NTLA,5652634.0,453652141.67,1.99
2021-04-01,ARKK,INTERCONTINENTAL EXCHANGE IN,ICE,2588987.0,289138068.16,1.27
2021-04-01,ARKK,INVITAE CORP,NVTA,15282622.0,583948986.62,2.57
2021-04-01,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,11691770.0,370161438.2,1.63
2021-04-01,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,7642222.0,315241657.5,1.39
2021-04-01,ARKK,KE HOLDINGS INC,BEKE,6293244.0,358589043.12,1.58
2021-04-01,ARKK,LENDINGTREE INC,TREE UW,1009404.0,215003052.0,0.94
2021-04-01,ARKK,MATERIALISE NV-ADR,MTLS,5049377.0,181525103.15,0.8
2021-04-01,ARKK,MORGAN STANLEY GOVT INSTL 8035,,63102302.74,63102302.74,0.28
2021-04-01,ARKK,NANOSTRING TECHNOLOGIES INC,NSTG,1927033.0,126625338.43,0.56
2021-04-01,ARKK,NINTENDO CO LTD-UNSPONS ADR,NTDOY,4804643.0,340168724.4,1.49
2021-04-01,ARKK,NOVARTIS AG-SPONSORED ADR,NVS,2710660.0,231707216.8,1.02
2021-04-01,ARKK,PACCAR INC,PCAR,2378211.0,220983366.12,0.97
2021-04-01,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,6353320.0,211629089.2,0.93
2021-04-01,ARKK,PAGERDUTY INC,PD,6612033.0,266002087.59,1.17
2021-04-01,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,12834160.0,298907586.4,1.31
2021-04-01,ARKK,PAYPAL HOLDINGS INC,PYPL,11484.0,2788774.56,0.01
2021-04-01,ARKK,PROTO LABS INC,PRLB,2722205.0,331428458.75,1.46
2021-04-01,ARKK,PURE STORAGE INC - CLASS A,PSTG,17240318.0,371356449.72,1.63
2021-04-01,ARKK,REGENERON PHARMACEUTICALS,REGN,218253.0,103264224.42,0.45
2021-04-01,ARKK,ROKU INC,ROKU,3795070.0,1236319953.9,5.43
2021-04-01,ARKK,SEA LTD-ADR,SE,1566056.0,349590680.88,1.54
2021-04-01,ARKK,SERES THERAPEUTICS INC,MCRB,7036818.0,144888082.62,0.64
2021-04-01,ARKK,SHOPIFY INC - CLASS A,SHOP,644973.0,713662624.5,3.14
2021-04-01,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,2652006.0,710605007.7,3.12
2021-04-01,ARKK,SQUARE INC - A,SQ,6529220.0,1482459401.0,6.51
2021-04-01,ARKK,STRATASYS LTD,SSYS,5668530.0,146814927.0,0.65
2021-04-01,ARKK,SYNOPSYS INC,SNPS,948116.0,234924182.48,1.03
2021-04-01,ARKK,SYROS PHARMACEUTICALS INC,SYRS,4426586.0,33110863.28,0.15
2021-04-01,ARKK,TAIWAN SEMICONDUCTOR-SP ADR,TSM,56941.0,6734981.48,0.03
2021-04-01,ARKK,TELADOC HEALTH INC,TDOC,7891309.0,1434245410.75,6.3
2021-04-01,ARKK,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,3243860.0,258860028.0,1.14
2021-04-01,ARKK,TERADYNE INC,TER,1686180.0,205174382.4,0.9
2021-04-01,ARKK,TESLA INC,TSLA,3757949.0,2510046875.57,11.03
2021-04-01,ARKK,TWILIO INC - A,TWLO,1759921.0,599710679.96,2.63
2021-04-01,ARKK,TWIST BIOSCIENCE CORP,TWST,2762601.0,342175759.86,1.5
2021-04-01,ARKK,TWITTER INC,TWTR,4115461.0,261866783.43,1.15
2021-04-01,ARKK,UNITY SOFTWARE INC,U,5556377.0,557360176.87,2.45
2021-04-01,ARKK,VERACYTE INC,VCYT,4238458.0,227817117.5,1.0
2021-04-01,ARKK,ZILLOW GROUP INC - C,Z,6439785.0,834853727.4,3.67
2021-04-01,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,2323316.0,746458197.64,3.28
