date,fund,company,ticker,shares,market value($),weight(%)
2021-02-22,ARKQ,2U INC,TWOU,1201373.0,58062357.09,1.43
2021-02-22,ARKQ,AEROVIRONMENT INC,AVAV,629996.0,79171597.32,1.95
2021-02-22,ARKQ,ALIBABA GROUP HOLDING-SP ADR,BABA,157219.0,39933626.0,0.98
2021-02-22,ARKQ,ALPHABET INC-CL C,GOOG,72352.0,149398197.76,3.67
2021-02-22,ARKQ,AMAZON.COM INC,AMZN,14196.0,45153785.04,1.11
2021-02-22,ARKQ,ANSYS INC,ANSS,114446.0,43855707.2,1.08
2021-02-22,ARKQ,APPLE INC,AAPL,289818.0,36517068.0,0.9
2021-02-22,ARKQ,ATLAS CREST INVESTMENT COR-A,ACIC,387670.0,5764652.9,0.14
2021-02-22,ARKQ,AUTODESK INC,ADSK,108372.0,32262344.4,0.79
2021-02-22,ARKQ,BAIDU INC - SPON ADR,BIDU,703676.0,236287364.04,5.81
2021-02-22,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,1455242.0,87314520.0,2.15
2021-02-22,ARKQ,CATERPILLAR INC,CAT,520311.0,113459016.66,2.79
2021-02-22,ARKQ,DEERE & CO,DE,565591.0,190892618.41,4.69
2021-02-22,ARKQ,ELBIT SYSTEMS LTD,ESLT,281986.0,38976104.92,0.96
2021-02-22,ARKQ,EXONE CO/THE,XONE,997483.0,44707188.06,1.1
2021-02-22,ARKQ,EXPERIENCE INVESTMENT CORP-A,EXPC,1869138.0,31588432.2,0.78
2021-02-22,ARKQ,FLIR SYSTEMS INC,FLIR,802833.0,44187928.32,1.09
2021-02-22,ARKQ,INTUITIVE SURGICAL INC,ISRG,86898.0,64426177.2,1.58
2021-02-22,ARKQ,IRIDIUM COMMUNICATIONS INC,IRDM,2127703.0,94044472.6,2.31
2021-02-22,ARKQ,JD.COM INC-ADR,JD,1795774.0,175375288.84,4.31
2021-02-22,ARKQ,KOMATSU LTD -SPONS ADR,KMTUY,3963362.0,122507519.42,3.01
2021-02-22,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,5115933.0,156035956.5,3.83
2021-02-22,ARKQ,LOCKHEED MARTIN CORP,LMT,296226.0,100856066.22,2.48
2021-02-22,ARKQ,MAGNA INTERNATIONAL INC,MGA,778472.0,67532446.0,1.66
2021-02-22,ARKQ,MATERIALISE NV-ADR,MTLS,2045445.0,118840354.5,2.92
2021-02-22,ARKQ,MORGAN STANLEY GOVT INSTL 8035,,5580308.75,5580308.75,0.14
2021-02-22,ARKQ,NANO DIMENSION LTD - ADR,NNDM,7559513.0,94115936.85,2.31
2021-02-22,ARKQ,NIU TECHNOLOGIES-SPONS ADR,NIU,1737591.0,69816406.38,1.72
2021-02-22,ARKQ,NVIDIA CORP,NVDA,173347.0,99541047.81,2.45
2021-02-22,ARKQ,NXP SEMICONDUCTORS NV,NXPI,693131.0,128652044.91,3.16
2021-02-22,ARKQ,ORGANOVO HOLDINGS INC,ONVO ,197165.0,2545400.15,0.06
2021-02-22,ARKQ,PACCAR INC,PCAR,420576.0,39820135.68,0.98
2021-02-22,ARKQ,PROTO LABS INC,PRLB,258782.0,42774076.78,1.05
2021-02-22,ARKQ,RAVEN INDUSTRIES INC,RAVN,1193529.0,50462406.12,1.24
2021-02-22,ARKQ,ROCKWELL AUTOMATION INC,ROK,175177.0,42734429.15,1.05
2021-02-22,ARKQ,SPLUNK INC,SPLK,1307.0,210191.74,0.01
2021-02-22,ARKQ,STRATASYS LTD,SSYS,1476289.0,59479683.81,1.46
2021-02-22,ARKQ,SYNOPSYS INC,SNPS,313384.0,79815770.96,1.96
2021-02-22,ARKQ,TAIWAN SEMICONDUCTOR-SP ADR,TSM,777574.0,103860559.18,2.55
2021-02-22,ARKQ,TELEDYNE TECHNOLOGIES INC,TDY,232277.0,92471796.47,2.27
2021-02-22,ARKQ,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,547008.0,49389352.32,1.21
2021-02-22,ARKQ,TERADYNE INC,TER,1109314.0,146862080.46,3.61
2021-02-22,ARKQ,TESLA INC,TSLA,552578.0,394816981.0,9.7
2021-02-22,ARKQ,TRIMBLE INC,TRMB,2512567.0,182211358.84,4.48
2021-02-22,ARKQ,VIRGIN GALACTIC HOLDINGS INC,SPCE,1615926.0,76158592.38,1.87
2021-02-22,ARKQ,VUZIX CORP,VUZI,293435.0,6009548.8,0.15
2021-02-22,ARKQ,WORKHORSE GROUP INC,WKHS,2632271.0,82495373.14,2.03
2021-02-22,ARKQ,XILINX INC,XLNX,321230.0,42174286.7,1.04
