date,fund,company,ticker,shares,market value($),weight(%)
2021-09-08,ARKW,2U INC,TWOU,1176615.0,42746422.95,0.73
2021-09-08,ARKW,ADYEN NV-UNSPON ADR,ADYEY,2239840.0,70129390.4,1.19
2021-09-08,ARKW,CLOUDFLARE INC - CLASS A,NET,497836.0,65355910.08,1.11
2021-09-08,ARKW,COINBASE GLOBAL INC -CLASS A,COIN,1065004.0,284153717.24,4.82
2021-09-08,ARKW,CONCORD ACQUISITION CORP -A,CND,2812885.0,29338390.55,0.5
2021-09-08,ARKW,DOCUSIGN INC,DOCU,191813.0,55913489.5,0.95
2021-09-08,ARKW,DRAFTKINGS INC - CL A,DKNG,3552307.0,225855679.06,3.83
2021-09-08,ARKW,DREYFUS GOVT CASH MAN INS,,3031547.53,3031547.53,0.05
2021-09-08,ARKW,ETSY INC,ETSY,445487.0,96421206.28,1.64
2021-09-08,ARKW,FARFETCH LTD-CLASS A,FTCH,1510792.0,63120889.76,1.07
2021-09-08,ARKW,GENIUS SPORTS LTD,GENI,2770629.0,59014397.7,1.0
2021-09-08,ARKW,GRAYSCALE BITCOIN TRUST BTC,GBTC,8614253.0,325704905.93,5.53
2021-09-08,ARKW,KHOSLA VENTURES ACQUISITIO-A,KVSB,4510725.0,45242571.75,0.77
2021-09-08,ARKW,LENDINGCLUB CORP,LC,2436510.0,78358161.6,1.33
2021-09-08,ARKW,LIVEPERSON INC,LPSN,774719.0,52386498.78,0.89
2021-09-08,ARKW,MERCADOLIBRE INC,MELI,30196.0,58997850.68,1.0
2021-09-08,ARKW,NANO DIMENSION LTD - ADR,NNDM,7198258.0,45708938.3,0.78
2021-09-08,ARKW,OKTA INC,OKTA,240497.0,63717275.18,1.08
2021-09-08,ARKW,PAGERDUTY INC,PD,1416022.0,66623835.1,1.13
2021-09-08,ARKW,PALANTIR TECHNOLOGIES INC-A,PLTR,6061672.0,161846642.4,2.75
2021-09-08,ARKW,PAYPAL HOLDINGS INC,PYPL,202133.0,59277523.58,1.01
2021-09-08,ARKW,PELOTON INTERACTIVE INC-A,PTON,1684534.0,162523840.32,2.76
2021-09-08,ARKW,ROBINHOOD MARKETS INC - A,HOOD,925922.0,39009093.86,0.66
2021-09-08,ARKW,ROBLOX CORP -CLASS A,RBLX,1382874.0,117502803.78,1.99
2021-09-08,ARKW,ROKU INC,ROKU,616728.0,212573807.04,3.61
2021-09-08,ARKW,SEA LTD-ADR,SE,240637.0,84468399.74,1.43
2021-09-08,ARKW,SHOPIFY INC - CLASS A,SHOP,165133.0,253759881.1,4.31
2021-09-08,ARKW,SKILLZ INC,SKLZ,6452431.0,81171581.98,1.38
2021-09-08,ARKW,SNAP INC - A,SNAP,811608.0,62079895.92,1.05
2021-09-08,ARKW,SNOWFLAKE INC-CLASS A,SNOW,98.0,30624.02,0.0
2021-09-08,ARKW,SPLUNK INC,SPLK,547202.0,86025626.42,1.46
2021-09-08,ARKW,SPOTIFY TECHNOLOGY SA,SPOT,887893.0,226164104.96,3.84
2021-09-08,ARKW,SQUARE INC - A,SQ,858602.0,228242169.66,3.88
2021-09-08,ARKW,TELADOC HEALTH INC,TDOC,1951575.0,279036193.5,4.74
2021-09-08,ARKW,TESLA INC,TSLA,843783.0,635301096.36,10.79
2021-09-08,ARKW,TRADE DESK INC/THE -CLASS A,TTD,493359.0,37140065.52,0.63
2021-09-08,ARKW,TWILIO INC - A,TWLO,619996.0,222931961.72,3.78
2021-09-08,ARKW,TWITTER INC,TWTR,4599891.0,298900917.18,5.07
2021-09-08,ARKW,UIPATH INC - CLASS A,PATH,2032204.0,126931461.84,2.16
2021-09-08,ARKW,UNITY SOFTWARE INC,U,2127492.0,289892059.92,4.92
2021-09-08,ARKW,VERACYTE INC,VCYT,1181689.0,60337040.34,1.02
2021-09-08,ARKW,VUZIX CORP,VUZI,4965145.0,61915358.15,1.05
2021-09-08,ARKW,WALT DISNEY CO/THE,DIS,342080.0,63059027.2,1.07
2021-09-08,ARKW,ZILLOW GROUP INC - C,Z,1337820.0,131534462.4,2.23
2021-09-08,ARKW,ZOOM VIDEO COMMUNICATIONS-A,ZM,588421.0,176502763.16,3.0
