date,fund,company,ticker,shares,market value($),weight(%)
2021-04-16,ARKX,AEROVIRONMENT INC,AVAV,67127.0,7324226.97,1.04
2021-04-16,ARKX,AIRBUS SE,AIR,94889.0,11684169.59,1.67
2021-04-16,ARKX,ALIBABA GROUP HOLDING-SP ADR,BABA,47008.0,11239142.72,1.6
2021-04-16,ARKX,ALPHABET INC-CL C,GOOG,9254.0,21253291.64,3.03
2021-04-16,ARKX,AMAZON.COM INC,AMZN,6612.0,22342543.08,3.19
2021-04-16,ARKX,ANSYS INC,ANSS,19837.0,7431336.94,1.06
2021-04-16,ARKX,ATLAS CREST INVESTMENT COR-A,ACIC,646376.0,6431441.2,0.92
2021-04-16,ARKX,AUTODESK INC,ADSK,19935.0,5957774.1,0.85
2021-04-16,ARKX,BOEING CO/THE,BA,96018.0,24111079.98,3.44
2021-04-16,ARKX,DASSAULT SYSTEMES SE,DSY,79732.0,18258034.2,2.6
2021-04-16,ARKX,DEERE & CO,DE,36823.0,14071541.22,2.01
2021-04-16,ARKX,DREYFUS GOVT CASH MAN INS,,581836.4,581836.4,0.08
2021-04-16,ARKX,ELBIT SYSTEMS LTD,ESLT,70813.0,10121302.09,1.44
2021-04-16,ARKX,GARMIN LTD,GRMN U,91317.0,12651970.35,1.8
2021-04-16,ARKX,HEICO CORP,HEI,61556.0,8329142.36,1.19
2021-04-16,ARKX,HONEYWELL INTERNATIONAL INC,HON,34482.0,7925342.88,1.13
2021-04-16,ARKX,IRIDIUM COMMUNICATIONS INC,IRDM,782983.0,32517283.99,4.64
2021-04-16,ARKX,JAWS SPITFIRE ACQUISITION-A,SPFR,635876.0,6479576.44,0.92
2021-04-16,ARKX,JD.COM INC-ADR,JD,399206.0,30934472.94,4.41
2021-04-16,ARKX,KOMATSU LTD,6301,993188.0,30902634.12,4.41
2021-04-16,ARKX,KRATOS DEFENSE & SECURITY,KTOS,1440772.0,40557731.8,5.78
2021-04-16,ARKX,L3HARRIS TECHNOLOGIES INC,LHX,166841.0,35163409.16,5.02
2021-04-16,ARKX,LOCKHEED MARTIN CORP,LMT,77285.0,30189839.55,4.31
2021-04-16,ARKX,MEITUAN-CLASS B,3690,191454.0,7019548.67,1.0
2021-04-16,ARKX,NETFLIX INC,NFLX,16626.0,9131331.72,1.3
2021-04-16,ARKX,NVIDIA CORP,NVDA,43078.0,27806418.22,3.97
2021-04-16,ARKX,RAVEN INDUSTRIES INC,RAVN,335661.0,13319028.48,1.9
2021-04-16,ARKX,REINVENT TECHNOLOGY-CLASS A,RTP,850310.0,8588131.0,1.22
2021-04-16,ARKX,SPIRIT AEROSYSTEMS HOLD-CL A,SPR,449550.0,20998480.5,2.99
2021-04-16,ARKX,SYNOPSYS INC,SNPS,27209.0,7132295.17,1.02
2021-04-16,ARKX,TELEDYNE TECHNOLOGIES INC,TDY,42417.0,18103999.77,2.58
2021-04-16,ARKX,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,83502.0,6678489.96,0.95
2021-04-16,ARKX,TERADYNE INC,TER,140272.0,18402283.68,2.62
2021-04-16,ARKX,THALES SA,HO,268222.0,27715652.43,3.95
2021-04-16,ARKX,THE 3D PRINTING ETF,PRNT,1069978.0,41301150.8,5.89
2021-04-16,ARKX,TRIMBLE INC,TRMB,756094.0,62037512.7,8.85
2021-04-16,ARKX,VIRGIN GALACTIC HOLDINGS INC,SPCE,585675.0,13505665.5,1.93
2021-04-16,ARKX,WORKHORSE GROUP INC,WKHS,662724.0,7720734.6,1.1
2021-04-16,ARKX,XILINX INC,XLNX,54282.0,7062088.2,1.01
