date,fund,company,ticker,shares,market value($),weight(%)
2021-03-24,IZRL,ALLOT LTD,ALLT,426043.0,6390645.0,1.85
2021-03-24,IZRL,ARAD LTD,ARD,391070.0,5629823.87,1.63
2021-03-24,IZRL,AUDIOCODES LTD,AUDC,187545.0,5288769.0,1.53
2021-03-24,IZRL,AUGWIND ENERGY TECH STORAGE,BIMCM,191321.0,4932469.61,1.43
2021-03-24,IZRL,BATM ADVANCED COMMUNICATIONS,BATM,4124718.0,5581497.64,1.62
2021-03-24,IZRL,BET SHEMESH ENGINES HOLDINGS,BSEN,275064.0,6068980.27,1.76
2021-03-24,IZRL,BEZEQ THE ISRAELI TELECOM CO,BEZQ,5826854.0,5957325.07,1.73
2021-03-24,IZRL,BIONDVAX PHARMACEUTICALS-ADR,BVXV,9663.0,38845.26,0.01
2021-03-24,IZRL,CAMTEK LTD,CAMT,254828.0,7160666.8,2.07
2021-03-24,IZRL,CELLCOM ISRAEL LTD,CEL,1317125.0,5003888.92,1.45
2021-03-24,IZRL,CERAGON NETWORKS LTD,CRNT,1147449.0,4601270.49,1.33
2021-03-24,IZRL,CHECK POINT SOFTWARE TECH,CHKP,47409.0,5491858.56,1.59
2021-03-24,IZRL,COMPUGEN LTD,CGEN,441217.0,3776817.52,1.09
2021-03-24,IZRL,CYBERARK SOFTWARE LTD/ISRAEL,CYBR,36576.0,5095768.32,1.48
2021-03-24,IZRL,DANEL (ADIR YEOSHUA) LTD,DANE,40426.0,6986589.45,2.02
2021-03-24,IZRL,DARIOHEALTH CORP,DRIO,268399.0,6092657.3,1.76
2021-03-24,IZRL,E & M COMPUTING,EMCO,1198628.0,8304246.26,2.4
2021-03-24,IZRL,ELBIT SYSTEMS LTD,ESLT,44879.0,6145068.11,1.78
2021-03-24,IZRL,ELECTRA CONSUMER PRODUCTS 19,ECP,156235.0,6489757.89,1.88
2021-03-24,IZRL,ENLIVEX THERAPEUTICS LTD,ENLV,470769.0,5507997.3,1.6
2021-03-24,IZRL,EVOGENE LTD,EVGN,931781.0,5006188.11,1.45
2021-03-24,IZRL,FATTAL HOLDINGS 1998 LTD,FTAL,56235.0,6102362.38,1.77
2021-03-24,IZRL,FIVERR INTERNATIONAL LTD,FVRR,24423.0,5392109.94,1.56
2021-03-24,IZRL,GAMIDA CELL LTD,GMDA,662379.0,5477874.33,1.59
2021-03-24,IZRL,GILAT SATELLITE NETWORKS LTD,GILT,647328.0,7269493.44,2.11
2021-03-24,IZRL,HAMLET (ISRAEL-CANADA) LTD,HAML,315106.0,6098332.7,1.77
2021-03-24,IZRL,HILAN LTD,HLAN,131827.0,6443161.29,1.87
2021-03-24,IZRL,INMODE LTD,INMD,100757.0,7204125.5,2.09
2021-03-24,IZRL,INTERCURE LTD,INCR,5078615.0,8484504.54,2.46
2021-03-24,IZRL,ITAMAR MEDICAL LTD,ITMR,6630977.0,5104695.24,1.48
2021-03-24,IZRL,ITURAN LOCATION AND CONTROL,ITRN,315112.0,6778059.12,1.96
2021-03-24,IZRL,JFROG LTD,FROG,89985.0,4546942.05,1.32
2021-03-24,IZRL,KAMADA LTD,KMDA,856096.0,5461322.21,1.58
2021-03-24,IZRL,KORNIT DIGITAL LTD,KRNT,60350.0,5777909.0,1.67
2021-03-24,IZRL,MAGIC SOFTWARE ENTERPRISES,MGIC,327216.0,5525115.3,1.6
2021-03-24,IZRL,MALAM - TEAM LTD,MLTM,217290.0,6160003.34,1.78
2021-03-24,IZRL,MATRIX IT LTD,MTRX,263289.0,6579530.76,1.91
2021-03-24,IZRL,MORGAN STANLEY GOVT INSTL 8035,,1469916.46,1469916.46,0.43
2021-03-24,IZRL,NANO DIMENSION LTD - ADR,NNDM,458455.0,4181109.6,1.21
2021-03-24,IZRL,NANO-X IMAGING LTD,NNOX,92938.0,4102283.32,1.19
2021-03-24,IZRL,NICE LTD - SPON ADR,NICE,22239.0,5045584.32,1.46
2021-03-24,IZRL,NOVA MEASURING INSTRUMENTS,NVMI,74320.0,6364021.6,1.84
2021-03-24,IZRL,ONE SOFTWARE TECHNOLOGIES LT,ONE,48040.0,6406013.07,1.86
2021-03-24,IZRL,PARTNER COMMUNICATIONS CO,PTNR,1289426.0,6415560.44,1.86
2021-03-24,IZRL,PERION NETWORK LTD,PERI,446369.0,8235508.05,2.39
2021-03-24,IZRL,PLASSON INDUSTRIES LTD,PLSN,119457.0,5842188.53,1.69
2021-03-24,IZRL,PLURISTEM THERAPEUTICS INC,PSTI,735809.0,3862997.25,1.12
2021-03-24,IZRL,POLYPID LTD,PYPD,570902.0,5651929.8,1.64
2021-03-24,IZRL,RADA ELECTRONIC INDS LTD,RADA,572200.0,6683296.0,1.94
2021-03-24,IZRL,RADWARE LTD,RDWR,216182.0,5890959.5,1.71
2021-03-24,IZRL,REDHILL BIOPHARMA LTD-SP ADR,RDHL,766503.0,5718112.38,1.66
2021-03-24,IZRL,ROBOGROUP T.E.K LTD,ROBO,2642466.0,4923352.05,1.43
2021-03-24,IZRL,SAPIENS INTERNATIONAL CORP,SPNS,180782.0,5674746.98,1.64
2021-03-24,IZRL,SILICOM LTD,SILC,136241.0,6089972.7,1.76
2021-03-24,IZRL,SOLAREDGE TECHNOLOGIES INC,SEDG,18224.0,5073014.88,1.47
2021-03-24,IZRL,STRATASYS LTD,SSYS,160045.0,4124359.65,1.19
2021-03-24,IZRL,TARO PHARMACEUTICAL INDUS,TARO,77697.0,5903418.06,1.71
2021-03-24,IZRL,TEVA PHARMACEUTICAL-SP ADR,TEVA,493919.0,5601041.46,1.62
2021-03-24,IZRL,TOWER SEMICONDUCTOR LTD,TSEM,194587.0,5499028.62,1.59
2021-03-24,IZRL,UROGEN PHARMA LTD,URGN UQ,288410.0,5606690.4,1.62
2021-03-24,IZRL,WIX.COM LTD,WIX,23829.0,6969267.63,2.02
