date,fund,company,ticker,shares,market value($),weight(%)
2021-03-30,PRNT,3D SYSTEMS CORP,DDD,892714.0,22407121.4,4.18
2021-03-30,PRNT,3M CO,MMM,3792.0,742246.08,0.14
2021-03-30,PRNT,AEROJET ROCKETDYNE HOLDINGS,AJRD,90029.0,4252969.96,0.79
2021-03-30,PRNT,ALIGN TECHNOLOGY INC,ALGN,12215.0,6302940.0,1.17
2021-03-30,PRNT,ALLEGHENY TECHNOLOGIES INC,ATI,35406.0,730779.84,0.14
2021-03-30,PRNT,ALTAIR ENGINEERING INC - A,ALTR,386786.0,23740924.68,4.43
2021-03-30,PRNT,AMETEK INC,AME,56347.0,7224248.87,1.35
2021-03-30,PRNT,ANSYS INC,ANSS,63649.0,21782597.27,4.06
2021-03-30,PRNT,ARCONIC CORP,ARNC,156152.0,3950645.6,0.74
2021-03-30,PRNT,ARKEMA,AKE,5435.0,667063.43,0.12
2021-03-30,PRNT,AUTODESK INC,ADSK,75027.0,20315811.06,3.79
2021-03-30,PRNT,BERTRANDT AG,BDT,90559.0,4955275.95,0.92
2021-03-30,PRNT,CARPENTER TECHNOLOGY,CRS,18218.0,702486.08,0.13
2021-03-30,PRNT,DASSAULT SYSTEMES SE,DSY,118992.0,25540292.77,4.76
2021-03-30,PRNT,DESKTOP METAL INC-A,DM,1030570.0,14891736.5,2.78
2021-03-30,PRNT,DUPONT DE NEMOURS INC,DD,7808.0,609804.8,0.11
2021-03-30,PRNT,EASTMAN CHEMICAL CO,EMN,5978.0,658656.04,0.12
2021-03-30,PRNT,EASTMAN KODAK CO,KODK,73084.0,581748.64,0.11
2021-03-30,PRNT,EVONIK INDUSTRIES AG,EVK,19793.0,702234.58,0.13
2021-03-30,PRNT,EXONE CO/THE,XONE,1543707.0,42266697.66,7.88
2021-03-30,PRNT,FARO TECHNOLOGIES INC,FARO,91661.0,7815933.47,1.46
2021-03-30,PRNT,GENERAL ELECTRIC CO,GE,417583.0,5407699.85,1.01
2021-03-30,PRNT,HENKEL AG & CO KGAA VORZUG,HEN3,5962.0,681231.11,0.13
2021-03-30,PRNT,HEXAGON AB-B SHS,HEXAB,76061.0,6796002.51,1.27
2021-03-30,PRNT,HEXCEL CORP,HXL,13307.0,742131.39,0.14
2021-03-30,PRNT,HP INC,HPQ,985456.0,30618117.92,5.71
2021-03-30,PRNT,KAISER ALUMINUM CORP,KALU,46030.0,4961573.7,0.92
2021-03-30,PRNT,KONINKLIJKE DSM NV,DSM,3625.0,628978.88,0.12
2021-03-30,PRNT,LINCOLN ELECTRIC HOLDINGS,LECO,39556.0,4893868.32,0.91
2021-03-30,PRNT,MATERIALISE NV-ADR,MTLS,344958.0,11042105.58,2.06
2021-03-30,PRNT,MEDTRONIC PLC,MDT UN,39796.0,4742091.36,0.88
2021-03-30,PRNT,MGI DIGITAL GRAPHIC TECHNOLO,ALMDG,412659.0,23575658.33,4.39
2021-03-30,PRNT,MICHELIN (CGDE),ML,36059.0,5397393.27,1.01
2021-03-30,PRNT,MICROSOFT CORP,MSFT,109170.0,25681150.8,4.79
2021-03-30,PRNT,MOOG INC-CLASS A,MOG/A,58675.0,4749154.5,0.89
2021-03-30,PRNT,MORGAN STANLEY GOVT INSTL 8035,,1339271.92,1339271.92,0.25
2021-03-30,PRNT,NUVASIVE INC,NUVA,81321.0,5283425.37,0.98
2021-03-30,PRNT,OC OERLIKON CORP AG-REG,OERL,462333.0,5291540.86,0.99
2021-03-30,PRNT,PROTO LABS INC,PRLB,134385.0,15981064.2,2.98
2021-03-30,PRNT,PTC INC,PTC,189081.0,24901967.7,4.64
2021-03-30,PRNT,PYROGENESIS CANADA INC,PYR,211000.0,1365451.8,0.25
2021-03-30,PRNT,RENISHAW PLC,RSW,313442.0,26963958.82,5.03
2021-03-30,PRNT,SANDVIK AB,SAND,24871.0,662944.48,0.12
2021-03-30,PRNT,SGL CARBON SE,SGL,112500.0,767827.72,0.14
2021-03-30,PRNT,SIEMENS AG-REG,SIE,32880.0,5333230.41,0.99
2021-03-30,PRNT,SLM SOLUTIONS GROUP AG,AM3D,1064114.0,21036850.08,3.92
2021-03-30,PRNT,STRATASYS LTD,SSYS,746542.0,17722907.08,3.3
2021-03-30,PRNT,STRAUMANN HOLDING AG-REG,STMN,21662.0,25772994.41,4.8
2021-03-30,PRNT,STRYKER CORP,SYK,19138.0,4631970.14,0.86
2021-03-30,PRNT,TORAY INDUSTRIES INC,3402,94508.0,617859.12,0.12
2021-03-30,PRNT,TRIMBLE INC,TRMB,336315.0,25317793.2,4.72
2021-03-30,PRNT,ULTRA CLEAN HOLDINGS INC,UCTT,119648.0,6455009.6,1.2
2021-03-30,PRNT,UNITED PARCEL SERVICE-CL B,UPS,28750.0,4834025.0,0.9
2021-03-30,PRNT,VOESTALPINE AG,VOE,17367.0,710784.02,0.13
2021-03-30,PRNT,XEROX HOLDINGS CORP,XRX UN,28303.0,686347.75,0.13
