date,fund,company,ticker,shares,value,stockPrice,weight,deltaShares,flowValue,deltaValue,deltaPrice,deltaPricePercent,deltaWeight,action
1/26/2021,ARKF,HONG KONG DOLLAR,,8136963.64,1.05,0.13,0.0003,-143555597.41,-18.66,-18.52,0.0,0.0,-0.9577,Sell
1/26/2021,ARKF,AMAZON.COM INC,AMZN,20566.0,68.41,3326.13,0.0248,500.0,1.66,2.31,32.0,0.0097,0.0377,Buy
1/26/2021,ARKF,MARKETAXESS HOLDINGS INC,MKTX,21402.0,10.91,509.81,0.004,525.0,0.27,0.28,0.64,0.0013,0.0256,Buy
1/26/2021,ARKF,ADYEN NV,ADYEN,40914.0,92.42,2258.9,0.0335,1000.0,2.26,1.55,-17.74,-0.0078,0.0182,Buy
1/26/2021,ARKF,SHOPIFY INC - CLASS A,SHOP,45853.0,53.18,1159.77,0.0193,1100.0,1.28,-0.79,-46.18,-0.0383,-0.0153,Buy
1/26/2021,ARKF,NVIDIA CORP,NVDA,51150.0,27.49,537.41,0.01,1250.0,0.67,0.24,-8.68,-0.0159,0.0101,Buy
1/26/2021,ARKF,JSC KASPI.KZ GDR-REG S,KSPI,53131.0,3.47,65.3,0.0013,1300.0,0.08,0.11,0.47,0.0072,0.0833,Buy
1/26/2021,ARKF,MERCADOLIBRE INC,MELI,60025.0,108.51,1807.74,0.0394,1450.0,2.62,-1.61,-72.24,-0.0384,-0.0125,Buy
1/26/2021,ARKF,VERISK ANALYTICS INC,VRSK,98312.0,18.53,188.5,0.0067,2375.0,0.45,0.43,-0.17,-0.0009,0.0152,Buy
1/26/2021,ARKF,INTUIT INC,INTU,113371.0,42.49,374.8,0.0154,2750.0,1.03,1.07,0.37,0.001,0.0267,Buy
1/26/2021,ARKF,TELADOC HEALTH INC,TDOC,157882.0,45.19,286.23,0.0164,3825.0,1.09,0.96,-0.87,-0.003,0.025,Buy
1/26/2021,ARKF,FACEBOOK INC-CLASS A,FB,187990.0,53.02,282.05,0.0192,4550.0,1.28,2.02,4.03,0.0145,0.0378,Buy
1/26/2021,ARKF,TWILIO INC - A,TWLO,190680.0,67.72,355.15,0.0246,4625.0,1.64,-2.98,-24.85,-0.0654,-0.0391,Buy
1/26/2021,ARKF,WORKDAY INC-CLASS A,WDAY,211107.0,49.74,235.6,0.0181,5125.0,1.21,1.34,0.63,0.0027,0.0343,Buy
