date,fund,direction,company,ticker,cusip,shares,weight(%)
12/31/2020,ARKK,Sell,TESLA INC,TSLA,88160R101,39777.0,0.36
12/31/2020,ARKK,Buy,ROKU INC,ROKU,77543R102,14278.0,0.13
12/31/2020,ARKK,Buy,SQUARE INC - A,SQ,852234103,16599.0,0.12
12/31/2020,ARKK,Buy,TELADOC HEALTH INC,TDOC,87918A105,15026.0,0.09
12/31/2020,ARKK,Buy,ZILLOW GROUP INC - C,Z,98954M200,16291.0,0.1
12/31/2020,ARKK,Buy,PURE STORAGE INC - CLASS A,PSTG,74624M102,84942.0,0.06
12/31/2020,ARKK,Buy,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,5973.0,0.06
12/31/2020,ARKK,Buy,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,33418.0,0.03
12/31/2020,ARKK,Buy,TWILIO INC - A,TWLO,90138F102,4433.0,0.02
12/31/2020,ARKK,Buy,BAIDU INC - SPON ADR,BIDU,056752108,6600.0,0.05
12/31/2020,ARKK,Buy,EXACT SCIENCES CORP,EXAS,30063P105,10494.0,0.04
12/31/2020,ARKK,Buy,PAYPAL HOLDINGS INC,PYPL,70450Y103,5907.0,0.1
12/31/2020,ARKK,Buy,TWIST BIOSCIENCE CORP,TWST,90184D100,9658.0,0.0
12/31/2020,ARKK,Buy,SHOPIFY INC - CLASS A,SHOP,82509L107,1177.0,0.02
12/31/2020,ARKK,Buy,DOCUSIGN INC,DOCU,256163106,5841.0,0.04
12/31/2020,ARKK,Buy,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,10054.0,0.1
12/31/2020,ARKK,Buy,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,10571.0,0.07
12/31/2020,ARKK,Buy,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,107915.0,0.19
12/31/2020,ARKK,Buy,KE HOLDINGS INC,BEKE,482497104,16808.0,0.0
12/31/2020,ARKK,Buy,NINTENDO CO LTD-UNSPONS ADR,NTDOY,654445303,11770.0,0.05
12/31/2020,ARKK,Buy,UNITY SOFTWARE INC,U,91332U101,6050.0,0.04
12/31/2020,ARKK,Buy,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,10164.0,0.04
12/31/2020,ARKK,Buy,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,18293.0,0.04
12/31/2020,ARKK,Buy,SPLUNK INC,SPLK,848637104,4081.0,0.03
12/31/2020,ARKK,Buy,SYNOPSYS INC,SNPS,871607107,2541.0,0.05
12/31/2020,ARKK,Buy,SEA LTD-ADR,SE,81141R100,3311.0,0.04
12/31/2020,ARKK,Buy,NANOSTRING TECHNOLOGIES INC,NSTG,63009R109,9372.0,0.03
12/31/2020,ARKK,Buy,PINTEREST INC- CLASS A,PINS,72352L106,8613.0,0.01
12/31/2020,ARKK,Buy,HUYA INC-ADR,HUYA,44852D108,24189.0,0.03
12/31/2020,ARKK,Sell,MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,300933237.72,1.64
