date,fund,direction,company,ticker,cusip,shares,weight(%)
12/31/2020,ARKQ,Buy,TESLA INC,TSLA,88160R101,2013.0,0.36
12/31/2020,ARKQ,Buy,MATERIALISE NV-ADR,MTLS,57667T100,14364.0,0.01
12/31/2020,ARKQ,Buy,TRIMBLE INC,TRMB,896239100,6927.0,0.08
12/31/2020,ARKQ,Buy,DEERE & CO,DE,244199105,1671.0,0.1
12/31/2020,ARKQ,Buy,ALPHABET INC-CL C,GOOG,02079K107,249.0,0.08
12/31/2020,ARKQ,Buy,FLIR SYSTEMS INC,FLIR,302445101,9906.0,0.05
12/31/2020,ARKQ,Buy,JD.COM INC-ADR,JD,47215P106,4725.0,0.01
12/31/2020,ARKQ,Buy,KRATOS DEFENSE & SECURITY,KTOS,50077B207,15027.0,0.0
12/31/2020,ARKQ,Buy,BAIDU INC - SPON ADR,BIDU,056752108,1770.0,0.01
12/31/2020,ARKQ,Buy,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,9318.0,0.07
12/31/2020,ARKQ,Buy,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,3231.0,0.05
12/31/2020,ARKQ,Buy,NXP SEMICONDUCTORS NV,NXPI,N6596X109,2196.0,0.03
12/31/2020,ARKQ,Buy,BYD CO LTD-UNSPONSORED ADR,BYDDY,05606L100,5814.0,0.11
12/31/2020,ARKQ,Buy,CATERPILLAR INC,CAT,149123101,1680.0,0.07
12/31/2020,ARKQ,Buy,NANO DIMENSION LTD - ADR,NNDM,63008G203,32112.0,0.09
12/31/2020,ARKQ,Buy,KOMATSU LTD -SPONS ADR,KMTUY,500458401,10035.0,0.02
12/31/2020,ARKQ,Buy,WORKHORSE GROUP INC,WKHS,98138J206,12432.0,0.14
12/31/2020,ARKQ,Buy,AEROVIRONMENT INC,AVAV,008073108,2736.0,0.0
12/31/2020,ARKQ,Buy,SYNOPSYS INC,SNPS,871607107,834.0,0.04
12/31/2020,ARKQ,Buy,VIRGIN GALACTIC HOLDINGS INC,SPCE,92766K106,9054.0,0.0
12/31/2020,ARKQ,Buy,SPLUNK INC,SPLK,848637104,1164.0,0.0
12/31/2020,ARKQ,Buy,TERADYNE INC,TER,880770102,1602.0,0.02
12/31/2020,ARKQ,Buy,NIU TECHNOLOGIES-SPONS ADR,NIU,65481N100,5973.0,0.01
12/31/2020,ARKQ,Buy,XILINX INC,XLNX,983919101,1104.0,0.01
12/31/2020,ARKQ,Buy,ANSYS INC,ANSS,03662Q105,429.0,0.03
12/31/2020,ARKQ,Buy,INTUITIVE SURGICAL INC,ISRG,46120E602,174.0,0.02
12/31/2020,ARKQ,Buy,AMAZON.COM INC,AMZN,023135106,42.0,0.0
12/31/2020,ARKQ,Buy,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,1881.0,0.02
12/31/2020,ARKQ,Buy,APPLE INC,AAPL,037833100,996.0,0.01
12/31/2020,ARKQ,Buy,AUTODESK INC,ADSK,052769106,372.0,0.04
12/31/2020,ARKQ,Buy,ELBIT SYSTEMS LTD,ESLT,M3760D101,864.0,0.01
12/31/2020,ARKQ,Buy,RAVEN INDUSTRIES INC,RAVN,754212108,3321.0,0.02
12/31/2020,ARKQ,Buy,NVIDIA CORP,NVDA,67066G104,195.0,0.0
12/31/2020,ARKQ,Buy,ROCKWELL AUTOMATION INC,ROK,773903109,375.0,0.02
12/31/2020,ARKQ,Buy,MAGNA INTERNATIONAL INC,MGA,559222401,789.0,0.0
12/31/2020,ARKQ,Buy,HONEYWELL INTERNATIONAL INC,HON,438516106,252.0,0.01
12/31/2020,ARKQ,Sell,MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,16188727.92,0.94
