date,fund,direction,company,ticker,cusip,shares,weight(%)
12/31/2020,ARKW,Sell,TESLA INC,TSLA,88160R101,9759.0,0.18
12/31/2020,ARKW,Buy,ROKU INC,ROKU,77543R102,6815.0,0.01
12/31/2020,ARKW,Buy,SQUARE INC - A,SQ,852234103,7160.0,0.03
12/31/2020,ARKW,Buy,GRAYSCALE BITCOIN TRUST BTC,GBTC,389637109,42575.0,0.02
12/31/2020,ARKW,Buy,TELADOC HEALTH INC,TDOC,87918A105,6480.0,0.01
12/31/2020,ARKW,Buy,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,3670.0,0.03
12/31/2020,ARKW,Buy,PURE STORAGE INC - CLASS A,PSTG,74624M102,46850.0,0.03
12/31/2020,ARKW,Buy,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,13435.0,0.06
12/31/2020,ARKW,Buy,FACEBOOK INC-CLASS A,FB,30303M102,3340.0,0.07
12/31/2020,ARKW,Buy,SNAP INC - A,SNAP,83304A106,16400.0,0.09
12/31/2020,ARKW,Buy,PAYPAL HOLDINGS INC,PYPL,70450Y103,3390.0,0.07
12/31/2020,ARKW,Buy,PINTEREST INC- CLASS A,PINS,72352L106,11985.0,0.01
12/31/2020,ARKW,Buy,SEA LTD-ADR,SE,81141R100,3875.0,0.07
12/31/2020,ARKW,Buy,NETFLIX INC,NFLX,64110L106,1420.0,0.11
12/31/2020,ARKW,Buy,SHOPIFY INC - CLASS A,SHOP,82509L107,645.0,0.01
12/31/2020,ARKW,Buy,UNITY SOFTWARE INC,U,91332U101,4605.0,0.02
12/31/2020,ARKW,Buy,ZILLOW GROUP INC - C,Z,98954M200,5440.0,0.03
12/31/2020,ARKW,Buy,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,6075.0,0.07
12/31/2020,ARKW,Buy,FASTLY INC - CLASS A,FSLY,31188V100,7910.0,0.02
12/31/2020,ARKW,Buy,TWILIO INC - A,TWLO,90138F102,1980.0,0.02
12/31/2020,ARKW,Buy,HUYA INC-ADR,HUYA,44852D108,30275.0,0.03
12/31/2020,ARKW,Buy,KE HOLDINGS INC,BEKE,482497104,8865.0,0.02
12/31/2020,ARKW,Buy,DOCUSIGN INC,DOCU,256163106,2375.0,0.01
12/31/2020,ARKW,Buy,MERCADOLIBRE INC,MELI,58733R102,310.0,0.0
12/31/2020,ARKW,Buy,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,31430.0,0.16
12/31/2020,ARKW,Buy,NINTENDO CO LTD-UNSPONS ADR,NTDOY,654445303,6010.0,0.02
12/31/2020,ARKW,Buy,OPENDOOR TECHNOLOGIES INC,OPEN,683712103,20770.0,0.06
12/31/2020,ARKW,Buy,PELOTON INTERACTIVE INC-A,PTON,70614W100,3065.0,0.0
12/31/2020,ARKW,Buy,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,1980.0,0.0
12/31/2020,ARKW,Buy,TRADE DESK INC/THE -CLASS A,TTD,88339J105,565.0,0.0
12/31/2020,ARKW,Buy,AGORA INC-ADR,API,00851L103,10905.0,0.04
12/31/2020,ARKW,Buy,JD.COM INC-ADR,JD,47215P106,4605.0,0.01
12/31/2020,ARKW,Buy,HUBSPOT INC,HUBS,443573100,995.0,0.03
12/31/2020,ARKW,Buy,APPLE INC,AAPL,037833100,2935.0,0.02
12/31/2020,ARKW,Buy,CLOUDFLARE INC - CLASS A,NET,18915M107,5035.0,0.01
12/31/2020,ARKW,Buy,SPLUNK INC,SPLK,848637104,2220.0,0.01
12/31/2020,ARKW,Buy,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,1785.0,0.03
12/31/2020,ARKW,Buy,NVIDIA CORP,NVDA,67066G104,725.0,0.01
12/31/2020,ARKW,Buy,ADOBE INC,ADBE,00724F101,750.0,0.03
12/31/2020,ARKW,Buy,ADYEN NV-UNSPON ADR,ADYEY,00783V104,7835.0,0.01
12/31/2020,ARKW,Buy,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,3260.0,0.02
12/31/2020,ARKW,Buy,ATLASSIAN CORP PLC-CLASS A,TEAM,G06242104,1525.0,0.02
12/31/2020,ARKW,Buy,SALESFORCE.COM INC,CRM,79466L302,1550.0,0.02
12/31/2020,ARKW,Buy,SYNOPSYS INC,SNPS,871607107,1265.0,0.03
12/31/2020,ARKW,Buy,OKTA INC,OKTA,679295105,1270.0,0.0
12/31/2020,ARKW,Buy,BAIDU INC - SPON ADR,BIDU,056752108,1280.0,0.01
12/31/2020,ARKW,Buy,NANO DIMENSION LTD - ADR,NNDM,63008G203,25145.0,0.01
12/31/2020,ARKW,Buy,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,9150.0,0.02
12/31/2020,ARKW,Sell,MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,75321546.7,1.39
