date,fund,company,ticker,shares,value,stockPrice,weight,deltaShares,flowValue,deltaValue,deltaPrice,deltaPricePercent,deltaWeight,action
2021-04-21,ARKF,ADYEN NV,ADYEN,58786.0,140.14,2383.93,0.0336,-222.0,-0.53,-1.65,-18.99,-0.0079,0.009,Sell
2021-04-21,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,452788.0,104.09,229.88,0.0249,-1692.0,-0.39,-2.62,-4.9,-0.0209,-0.008,Sell
2021-04-21,ARKF,AMAZON.COM INC,AMZN,13544.0,45.17,3334.69,0.0108,-48.0,-0.16,-0.67,-37.32,-0.0111,0.0,Sell
2021-04-21,ARKF,APPLE INC,AAPL,605671.0,80.62,133.11,0.0193,-2268.0,-0.3,-1.35,-1.73,-0.0128,0.0,Sell
2021-04-21,ARKF,BASE INC,4477,2856800.0,57.09,19.98,0.0137,-10800.0,-0.22,-2.08,-0.65,-0.0315,-0.0144,Sell
2021-04-21,ARKF,BILL.COM HOLDINGS INC,BILL,171696.0,25.57,148.93,0.0061,-642.0,-0.1,-0.86,-4.46,-0.0291,-0.0161,Sell
2021-04-21,ARKF,COINBASE GLOBAL INC -CLASS A,COIN,174113.0,55.86,320.82,0.0134,-654.0,-0.21,-2.34,-12.18,-0.0366,-0.0219,Sell
2021-04-21,ARKF,DISCOVERY LTD,DSY,5558107.0,53.44,9.62,0.0128,-20778.0,-0.2,-1.28,-0.19,-0.0194,-0.0078,Sell
2021-04-21,ARKF,DOCUSIGN INC,DOCU,406006.0,89.09,219.43,0.0213,-1518.0,-0.33,-1.91,-3.87,-0.0173,-0.0047,Sell
2021-04-21,ARKF,DRAFTKINGS INC - CL A,DKNG,816348.0,45.48,55.71,0.0109,-3054.0,-0.17,-0.96,-0.97,-0.0171,0.0,Sell
2021-04-21,ARKF,DREYFUS GOVT CASH MAN INS,,11296376.53,11.3,1.0,0.0027,-8328.34,-0.01,-0.01,0.0,0.0,0.0,Sell
2021-04-21,ARKF,FACEBOOK INC-CLASS A,FB,313000.0,94.73,302.65,0.0227,-1170.0,-0.35,-0.23,0.41,0.0014,0.0179,Sell
2021-04-21,ARKF,GUIDEWIRE SOFTWARE INC,GWRE,415021.0,42.99,103.58,0.0103,-1554.0,-0.16,-0.34,-0.42,-0.004,0.0098,Sell
2021-04-21,ARKF,HDFC BANK LTD-ADR,HDB,554680.0,38.02,68.54,0.0091,-2076.0,-0.14,0.02,0.29,0.0042,0.0225,Sell
2021-04-21,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,1283061.0,153.66,119.76,0.0368,-4800.0,-0.57,-0.55,0.02,0.0002,0.0166,Sell
2021-04-21,ARKF,INTUIT INC,INTU,181485.0,73.57,405.37,0.0176,-678.0,-0.27,0.29,3.08,0.0077,0.0233,Sell
2021-04-21,ARKF,JD.COM INC-ADR,JD,1164863.0,86.84,74.55,0.0208,84287.0,6.28,3.69,-2.4,-0.0312,0.0667,Buy
2021-04-21,ARKF,JSC KASPI.KZ GDR-REG S,KSPI,154865.0,12.87,83.1,0.0031,-582.0,-0.05,-0.5,-2.9,-0.0337,0.0,Sell
2021-04-21,ARKF,KE HOLDINGS INC,BEKE,860861.0,44.35,51.52,0.0106,-3222.0,-0.17,0.78,1.1,0.0218,0.0392,Sell
2021-04-21,ARKF,LENDINGCLUB CORP,LC,2752800.0,37.22,13.52,0.0089,-10296.0,-0.14,-1.85,-0.62,-0.0438,-0.0326,Sell
2021-04-21,ARKF,LENDINGTREE INC,TREE UW,51926.0,11.26,216.82,0.0027,-28190.0,-6.11,-6.23,-1.49,-0.0068,-0.3415,Sell
2021-04-21,ARKF,MARKETAXESS HOLDINGS INC,MKTX,33666.0,17.81,529.12,0.0043,-126.0,-0.07,-0.22,-4.5,-0.0084,0.0238,Sell
2021-04-21,ARKF,MEITUAN-CLASS B,3690,2349865.0,88.89,37.83,0.0213,7883.0,0.3,1.68,0.59,0.0158,0.039,Buy
2021-04-21,ARKF,MERCADOLIBRE INC,MELI,80078.0,122.79,1533.41,0.0294,-300.0,-0.46,-3.48,-37.58,-0.0239,-0.0101,Sell
2021-04-21,ARKF,NVIDIA CORP,NVDA,8842.0,5.37,606.85,0.0013,-19408.0,-11.78,-11.99,-7.62,-0.0124,-0.6829,Sell
2021-04-21,ARKF,OPENDOOR TECHNOLOGIES INC,OPEN,6151293.0,101.13,16.44,0.0242,115506.0,1.9,-3.9,-0.96,-0.0552,-0.0202,Buy
2021-04-21,ARKF,PAYPAL HOLDINGS INC,PYPL,700397.0,185.21,264.43,0.0444,-2622.0,-0.69,-3.14,-3.48,-0.013,0.0023,Sell
