date,fund,company,ticker,shares,value,stockPrice,weight,deltaShares,flowValue,deltaValue,deltaPrice,deltaPricePercent,deltaWeight,action
2021-05-07,ARKG,10X GENOMICS INC-CLASS A,TXG,1447056.0,209.03,144.45,0.025,137764.0,19.9,-30.44,-38.45,-0.2102,-0.0876,Buy
2021-05-07,ARKG,1LIFE HEALTHCARE INC,ONEM,1078059.0,43.96,40.78,0.0053,-11776.0,-0.48,-0.98,-0.46,-0.0112,0.0392,Sell
2021-05-07,ARKG,908 DEVICES INC,MASS,1397630.0,69.14,49.47,0.0083,25511.0,1.26,-2.43,-2.69,-0.0516,0.0122,Buy
2021-05-07,ARKG,ABBVIE INC,ABBV,543079.0,63.04,116.08,0.0075,-5934.0,-0.69,-0.52,0.3,0.0026,0.0274,Sell
2021-05-07,ARKG,ACCOLADE INC,ACCD,5319478.0,218.58,41.09,0.0261,20799.0,0.85,-20.13,-3.96,-0.0879,-0.044,Buy
2021-05-07,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,3588058.0,131.32,36.6,0.0157,-39192.0,-1.43,2.7,1.14,0.0321,0.068,Sell
2021-05-07,ARKG,AQUABOUNTY TECHNOLOGIES,AQB,6866910.0,35.57,5.18,0.0043,-75003.0,-0.39,-1.71,-0.19,-0.0354,0.0,Sell
2021-05-07,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,3135220.0,94.53,30.15,0.0113,-34247.0,-1.03,-7.28,-1.97,-0.0613,-0.0259,Sell
2021-05-07,ARKG,BEAM THERAPEUTICS INC,BEAM,1758232.0,123.27,70.11,0.0147,-19205.0,-1.35,-6.66,-2.99,-0.0409,-0.0134,Sell
2021-05-07,ARKG,BERKELEY LIGHTS INC,BLI,3020275.0,144.73,47.92,0.0173,-32982.0,-1.58,-5.24,-1.2,-0.0244,0.0117,Sell
2021-05-07,ARKG,BRISTOL-MYERS SQUIBB CO,BMY,2138593.0,137.85,64.46,0.0165,-23345.0,-1.5,-1.98,-0.22,-0.0034,0.0313,Sell
2021-05-07,ARKG,BUTTERFLY NETWORK INC,BFLY,6380088.0,76.88,12.05,0.0092,-69667.0,-0.84,-8.45,-1.18,-0.0892,-0.0612,Sell
2021-05-07,ARKG,CAREDX INC,CDNA,4450866.0,323.49,72.68,0.0387,25183.0,1.83,-0.38,-0.5,-0.0068,0.0459,Buy
2021-05-07,ARKG,CASTLE BIOSCIENCES INC,CSTL,2549350.0,143.38,56.24,0.0171,-27830.0,-1.57,-17.08,-6.02,-0.0967,-0.0656,Sell
2021-05-07,ARKG,CELLECTIS - ADR,CLLS,4809033.0,74.68,15.53,0.0089,-52509.0,-0.82,-7.67,-1.41,-0.0832,-0.0532,Sell
2021-05-07,ARKG,CERUS CORP,CERS,6496427.0,38.72,5.96,0.0046,-70955.0,-0.42,-0.82,-0.06,-0.01,0.0222,Sell
2021-05-07,ARKG,CM LIFE SCIENCES II INC,,591905.0,7.56,12.77,0.0009,135576.0,1.73,1.32,-0.9,-0.0658,0.2857,Buy
2021-05-07,ARKG,CM LIFE SCIENCES INC-CLASS A,CMLF,4191179.0,48.95,11.68,0.0059,-45770.0,-0.53,-4.39,-0.91,-0.0723,-0.0328,Sell
2021-05-07,ARKG,CODEXIS INC,CDXS,6166057.0,122.21,19.82,0.0146,-67344.0,-1.33,-4.7,-0.54,-0.0265,0.0069,Sell
2021-05-07,ARKG,COMPUGEN LTD,CGEN,4557974.0,33.91,7.44,0.0041,-49772.0,-0.37,-2.86,-0.54,-0.0677,-0.0238,Sell
2021-05-07,ARKG,CRISPR THERAPEUTICS AG,CRSP,1838136.0,198.22,107.84,0.0237,-20079.0,-2.17,-13.43,-6.06,-0.0532,-0.0207,Sell
2021-05-07,ARKG,DREYFUS GOVT CASH MAN INS,,4098854.04,4.1,1.0,0.0005,-12810249.8,-12.81,-12.81,0.0,0.0,-0.7368,Sell
2021-05-07,ARKG,EDITAS MEDICINE INC,EDIT,1443611.0,49.57,34.34,0.0059,-15755.0,-0.54,-1.1,-0.38,-0.0109,0.0172,Sell
2021-05-07,ARKG,EVOGENE LTD,EVGN,3651369.0,13.73,3.76,0.0016,-39882.0,-0.15,-0.63,-0.13,-0.0334,0.0,Sell
2021-05-07,ARKG,EXACT SCIENCES CORP,EXAS,3722003.0,402.01,108.01,0.048,-40641.0,-4.39,-14.32,-2.64,-0.0239,0.0084,Sell
2021-05-07,ARKG,FATE THERAPEUTICS INC,FATE,3928277.0,300.71,76.55,0.0359,183552.0,14.05,9.63,-1.18,-0.0152,0.0781,Buy
2021-05-07,ARKG,GUARDANT HEALTH INC,GH,690204.0,92.92,134.62,0.0111,-7544.0,-1.02,-4.58,-5.11,-0.0366,0.0,Sell
2021-05-07,ARKG,INCYTE CORP,INCY,2933498.0,241.46,82.31,0.0289,-32039.0,-2.64,0.42,1.03,0.0127,0.0471,Sell
2021-05-07,ARKG,INTELLIA THERAPEUTICS INC,NTLA,1735857.0,115.4,66.48,0.0138,-18952.0,-1.26,-9.82,-4.88,-0.0684,-0.035,Sell
2021-05-07,ARKG,INVITAE CORP,NVTA,5340287.0,157.32,29.46,0.0188,-58328.0,-1.72,-11.27,-1.77,-0.0567,-0.0259,Sell
2021-05-07,ARKG,IONIS PHARMACEUTICALS INC,IONS,7068418.0,263.86,37.33,0.0315,288096.0,10.75,-6.6,-2.56,-0.0642,0.0194,Buy
2021-05-07,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,7345515.0,210.16,28.61,0.0251,-80224.0,-2.3,-6.82,-0.61,-0.0209,0.0121,Sell
