date,fund,company,ticker,shares,value,stockPrice,weight,deltaShares,flowValue,deltaValue,deltaPrice,deltaPricePercent,deltaWeight,action
2021-03-03,ARKQ,2U INC,TWOU,1140915.0,42.0,36.81,0.0119,-8184.0,-0.3,-4.76,-3.88,-0.0954,-0.0703,Sell
2021-03-03,ARKQ,AEROVIRONMENT INC,AVAV,604013.0,69.03,114.29,0.0196,-4332.0,-0.5,0.94,2.36,0.0211,0.0538,Sell
2021-03-03,ARKQ,ALIBABA GROUP HOLDING-SP ADR,BABA,150739.0,35.62,236.27,0.0101,-1080.0,-0.26,0.03,1.85,0.0079,0.0412,Sell
2021-03-03,ARKQ,ALPHABET INC-CL C,GOOG,66606.0,134.99,2026.71,0.0383,-474.0,-0.96,-4.26,-49.13,-0.0237,0.0052,Sell
2021-03-03,ARKQ,AMAZON.COM INC,AMZN,5799.0,17.43,3005.0,0.0049,-42.0,-0.13,-0.65,-89.53,-0.0289,0.0,Sell
2021-03-03,ARKQ,ANSYS INC,ANSS,109730.0,35.1,319.86,0.01,-786.0,-0.25,-2.07,-16.47,-0.049,-0.0196,Sell
2021-03-03,ARKQ,APPLE INC,AAPL,63040.0,7.69,122.06,0.0022,-450.0,-0.05,-0.25,-3.06,-0.0245,0.0,Sell
2021-03-03,ARKQ,ATLAS CREST INVESTMENT COR-A,ACIC,1493236.0,16.75,11.22,0.0048,-10704.0,-0.12,-1.83,-1.14,-0.0922,-0.0588,Sell
2021-03-03,ARKQ,AUTODESK INC,ADSK,78218.0,21.06,269.3,0.006,-558.0,-0.15,-0.83,-8.62,-0.031,0.0,Sell
2021-03-03,ARKQ,BAIDU INC - SPON ADR,BIDU,737483.0,204.87,277.8,0.0582,-5286.0,-1.47,-19.39,-24.13,-0.0799,-0.0506,Sell
2021-03-03,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,1395223.0,74.41,53.33,0.0211,-10002.0,-0.53,-1.92,-0.99,-0.0182,0.0096,Sell
2021-03-03,ARKQ,CATERPILLAR INC,CAT,473691.0,101.8,214.91,0.0289,-3396.0,-0.73,-1.16,-0.91,-0.0042,0.0285,Sell
2021-03-03,ARKQ,DEERE & CO,DE,493730.0,169.38,343.06,0.0481,-35242.0,-12.09,-16.52,-8.38,-0.0238,-0.0531,Sell
2021-03-03,ARKQ,ELBIT SYSTEMS LTD,ESLT,276450.0,36.5,132.04,0.0104,778.0,0.1,-0.43,-1.95,-0.0146,0.0297,Buy
2021-03-03,ARKQ,EXONE CO/THE,XONE,947299.0,32.86,34.69,0.0093,-6792.0,-0.24,-3.41,-3.33,-0.0876,-0.0606,Sell
2021-03-03,ARKQ,EXPERIENCE INVESTMENT CORP-A,EXPC,2728233.0,37.32,13.68,0.0106,65846.0,0.9,-1.04,-0.73,-0.0507,0.0095,Buy
2021-03-03,ARKQ,FLIR SYSTEMS INC,FLIR,48801.0,2.61,53.53,0.0007,-162093.0,-8.68,-8.75,-0.35,-0.0065,-0.7742,Sell
2021-03-03,ARKQ,INTUITIVE SURGICAL INC,ISRG,83321.0,60.59,727.15,0.0172,-600.0,-0.44,-2.35,-22.85,-0.0305,0.0,Sell
2021-03-03,ARKQ,IRIDIUM COMMUNICATIONS INC,IRDM,2039948.0,79.13,38.79,0.0225,-14628.0,-0.57,-1.96,-0.68,-0.0172,0.0135,Sell
2021-03-03,ARKQ,JD.COM INC-ADR,JD,1820050.0,170.39,93.62,0.0484,-13050.0,-1.22,-6.28,-2.76,-0.0286,0.0021,Sell
2021-03-03,ARKQ,KOMATSU LTD -SPONS ADR,KMTUY,3799901.0,116.12,30.56,0.033,-27246.0,-0.83,0.39,0.32,0.0106,0.0443,Sell
2021-03-03,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,5237538.0,139.84,26.7,0.0397,-37548.0,-1.0,-2.85,-0.35,-0.0129,0.0179,Sell
2021-03-03,ARKQ,LOCKHEED MARTIN CORP,LMT,284022.0,96.83,340.91,0.0275,-2034.0,-0.69,-0.03,2.32,0.0069,0.0377,Sell
2021-03-03,ARKQ,MAGNA INTERNATIONAL INC,MGA,746353.0,66.16,88.65,0.0188,-5352.0,-0.47,1.24,2.28,0.0264,0.0621,Sell
2021-03-03,ARKQ,MATERIALISE NV-ADR,MTLS,1942531.0,72.81,37.48,0.0207,-13926.0,-0.52,-7.82,-3.73,-0.0905,-0.0591,Sell
2021-03-03,ARKQ,MORGAN STANLEY GOVT INSTL 8035,,9257178.48,9.26,1.0,0.0026,5715709.42,5.72,5.72,0.0,0.0,1.6,Buy
2021-03-03,ARKQ,NANO DIMENSION LTD - ADR,NNDM,7247747.0,63.56,8.77,0.0181,-51960.0,-0.46,-6.59,-0.84,-0.0874,-0.0573,Sell
2021-03-03,ARKQ,NIU TECHNOLOGIES-SPONS ADR,NIU,1665920.0,60.49,36.31,0.0172,-11946.0,-0.43,-3.76,-1.98,-0.0517,-0.0227,Sell
2021-03-03,ARKQ,NVIDIA CORP,NVDA,166179.0,85.12,512.19,0.0242,-1194.0,-0.61,-4.64,-24.06,-0.0449,-0.0122,Sell
2021-03-03,ARKQ,NXP SEMICONDUCTORS NV,NXPI,664547.0,116.95,175.99,0.0332,-4764.0,-0.84,-5.04,-6.28,-0.0345,-0.003,Sell
2021-03-03,ARKQ,ONE - CLASS A,AONE,1443577.0,17.25,11.95,0.0049,548428.0,6.55,5.94,-0.69,-0.0546,0.5806,Buy
2021-03-03,ARKQ,ORGANOVO HOLDINGS INC,ONVO ,187233.0,2.19,11.69,0.0006,-1344.0,-0.02,-0.23,-1.11,-0.0867,-0.1429,Sell
2021-03-03,ARKQ,PACCAR INC,PCAR,403224.0,38.4,95.24,0.0109,-2892.0,-0.28,0.16,1.06,0.0113,0.0381,Sell
2021-03-03,ARKQ,PROTO LABS INC,PRLB,245763.0,34.2,139.14,0.0097,-1764.0,-0.25,-1.89,-6.63,-0.0455,-0.0202,Sell
2021-03-03,ARKQ,RAVEN INDUSTRIES INC,RAVN,1230484.0,50.5,41.04,0.0143,-8826.0,-0.36,-0.11,0.2,0.0049,0.0362,Sell
2021-03-03,ARKQ,ROCKWELL AUTOMATION INC,ROK,153138.0,38.41,250.84,0.0109,-1098.0,-0.28,0.05,2.13,0.0086,0.0381,Sell
2021-03-03,ARKQ,SPLUNK INC,SPLK,1248.0,0.18,143.19,0.0001,-12.0,-0.0,-0.01,-5.9,-0.0396,0.0,Sell
2021-03-03,ARKQ,STRATASYS LTD,SSYS,1402006.0,37.57,26.8,0.0107,-10050.0,-0.27,-8.01,-5.48,-0.1698,-0.144,Sell
2021-03-03,ARKQ,SYNOPSYS INC,SNPS,271009.0,64.21,236.93,0.0182,-1944.0,-0.46,-3.45,-10.94,-0.0441,-0.0162,Sell
2021-03-03,ARKQ,TAIWAN SEMICONDUCTOR-SP ADR,TSM,688538.0,84.61,122.89,0.024,-4938.0,-0.61,-2.76,-3.11,-0.0247,0.0042,Sell
2021-03-03,ARKQ,TELEDYNE TECHNOLOGIES INC,TDY,222701.0,82.54,370.63,0.0234,-1596.0,-0.59,-1.53,-4.18,-0.0112,0.0174,Sell
2021-03-03,ARKQ,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,524445.0,47.38,90.34,0.0135,-3762.0,-0.34,-0.12,0.43,0.0048,0.0385,Sell
2021-03-03,ARKQ,TERADYNE INC,TER,1135917.0,138.0,121.49,0.0392,-8142.0,-0.99,-7.06,-5.31,-0.0419,-0.0101,Sell
2021-03-03,ARKQ,TESLA INC,TSLA,541277.0,353.56,653.2,0.1004,-3882.0,-2.54,-20.66,-33.24,-0.0484,-0.0186,Sell
2021-03-03,ARKQ,TRIMBLE INC,TRMB,2536494.0,187.9,74.08,0.0534,-18186.0,-1.35,-5.15,-1.49,-0.0197,0.0114,Sell
2021-03-03,ARKQ,UNITY SOFTWARE INC,U,173600.0,17.85,102.8,0.0051,173600.0,17.85,17.85,,,,Enter
2021-03-03,ARKQ,VIRGIN GALACTIC HOLDINGS INC,SPCE,1549273.0,49.62,32.03,0.0141,-11106.0,-0.36,-3.07,-1.74,-0.0515,-0.0208,Sell
2021-03-03,ARKQ,VUZIX CORP,VUZI,1047851.0,21.23,20.26,0.006,-7512.0,-0.15,-2.75,-2.46,-0.1083,-0.0909,Sell
2021-03-03,ARKQ,WORKHORSE GROUP INC,WKHS,3168787.0,47.28,14.92,0.0134,-22716.0,-0.34,-4.2,-1.21,-0.075,-0.0496,Sell
2021-03-03,ARKQ,XILINX INC,XLNX,249693.0,30.84,123.51,0.0088,-1788.0,-0.22,-1.84,-6.44,-0.0496,-0.0112,Sell
