date,fund,company,ticker,shares,value,stockPrice,weight,deltaShares,flowValue,deltaValue,deltaPrice,deltaPricePercent,deltaWeight,action
2/4/2021,ARKW,ADOBE INC,ADBE,163419.0,79.97,489.38,0.0104,2590.0,1.27,2.47,7.46,0.0155,0.0,Buy
2/4/2021,ARKW,ADYEN NV-UNSPON ADR,ADYEY,1691060.0,77.5,45.83,0.0101,26782.0,1.23,3.61,1.43,0.0322,0.0202,Buy
2/4/2021,ARKW,AGORA INC-ADR,API,2573516.0,226.91,88.17,0.0296,40754.0,3.59,-2.99,-2.6,-0.0286,-0.0421,Buy
2/4/2021,ARKW,ALIBABA GROUP HOLDING-SP ADR,BABA,349928.0,93.42,266.96,0.0122,5544.0,1.48,2.7,3.53,0.0134,0.0,Buy
2/4/2021,ARKW,APPLE INC,AAPL,519098.0,71.32,137.39,0.0093,8218.0,1.13,2.89,3.45,0.0258,0.0109,Buy
2/4/2021,ARKW,ATLASSIAN CORP PLC-CLASS A,TEAM,269356.0,64.91,241.0,0.0085,4270.0,1.03,0.24,-2.99,-0.0123,-0.023,Buy
2/4/2021,ARKW,BAIDU INC - SPON ADR,BIDU,460239.0,118.94,258.43,0.0155,7294.0,1.88,5.12,7.15,0.0285,0.0131,Buy
2/4/2021,ARKW,CLOUDFLARE INC - CLASS A,NET,890082.0,73.91,83.04,0.0096,14098.0,1.17,1.78,0.7,0.0085,-0.0103,Buy
2/4/2021,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,315550.0,70.69,224.01,0.0092,4998.0,1.12,2.95,5.89,0.027,0.011,Buy
2/4/2021,ARKW,DOCUSIGN INC,DOCU,491231.0,120.85,246.01,0.0157,7784.0,1.91,6.35,9.18,0.0388,0.0195,Buy
2/4/2021,ARKW,DRAFTKINGS INC - CL A,DKNG,651254.0,41.13,63.16,0.0054,10318.0,0.65,2.61,3.05,0.0507,0.0385,Buy
2/4/2021,ARKW,FACEBOOK INC-CLASS A,FB,562970.0,150.03,266.49,0.0195,8918.0,2.38,2.29,-0.16,-0.0006,-0.0201,Buy
2/4/2021,ARKW,FASTLY INC - CLASS A,FSLY,1353851.0,151.18,111.67,0.0197,21448.0,2.4,4.85,1.84,0.0168,0.0,Buy
2/4/2021,ARKW,GRAYSCALE BITCOIN TRUST BTC,GBTC,7526604.0,285.71,37.96,0.0372,119210.0,4.53,3.78,-0.1,-0.0026,-0.0185,Buy
2/4/2021,ARKW,HUBSPOT INC,HUBS,175886.0,71.72,407.75,0.0093,2786.0,1.14,3.2,11.93,0.0301,0.0109,Buy
2/4/2021,ARKW,INTERCONTINENTAL EXCHANGE IN,ICE,1316843.0,150.84,114.55,0.0196,20860.0,2.39,1.42,-0.75,-0.0065,-0.0249,Buy
2/4/2021,ARKW,JD.COM INC-ADR,JD,814263.0,77.05,94.63,0.01,12894.0,1.22,0.52,-0.87,-0.0091,-0.0291,Buy
2/4/2021,ARKW,KE HOLDINGS INC,BEKE,1683907.0,109.42,64.98,0.0142,26670.0,1.73,4.91,1.92,0.0304,0.0143,Buy
2/4/2021,ARKW,MERCADOLIBRE INC,MELI,43897.0,83.11,1893.35,0.0108,700.0,1.33,2.31,22.83,0.0122,-0.0092,Buy
2/4/2021,ARKW,MORGAN STANLEY GOVT INSTL 8035,,41246784.37,41.25,1.0,0.0054,19965547.4,19.97,19.97,0.0,0.0,0.8621,Buy
2/4/2021,ARKW,NANO DIMENSION LTD - ADR,NNDM,4444574.0,65.42,14.72,0.0085,70406.0,1.04,-2.24,-0.75,-0.0485,-0.0659,Buy
2/4/2021,ARKW,NETFLIX INC,NFLX,336403.0,185.75,552.16,0.0242,5320.0,2.94,7.15,12.71,0.0236,0.0083,Buy
2/4/2021,ARKW,NINTENDO CO LTD-UNSPONS ADR,NTDOY,1062638.0,77.71,73.13,0.0101,16828.0,1.23,0.32,-0.87,-0.0118,-0.0288,Buy
2/4/2021,ARKW,NVIDIA CORP,NVDA,255643.0,139.73,546.57,0.0182,4046.0,2.21,3.56,5.35,0.0099,-0.0055,Buy
2/4/2021,ARKW,OKTA INC,OKTA,224505.0,63.67,283.62,0.0083,3556.0,1.01,2.64,7.37,0.0267,0.0122,Buy
2/4/2021,ARKW,OPENDOOR TECHNOLOGIES INC,OPEN,4312879.0,122.83,28.48,0.016,68306.0,1.95,1.39,-0.13,-0.0045,-0.0184,Buy
2/4/2021,ARKW,PALANTIR TECHNOLOGIES INC-A,PLTR,2179100.0,69.84,32.05,0.0091,34510.0,1.11,1.73,0.29,0.0091,-0.0109,Buy
2/4/2021,ARKW,PAYPAL HOLDINGS INC,PYPL,598886.0,161.96,270.43,0.0211,9478.0,2.56,13.48,18.53,0.0736,0.055,Buy
2/4/2021,ARKW,PELOTON INTERACTIVE INC-A,PTON,541705.0,85.33,157.53,0.0111,8582.0,1.35,6.88,10.36,0.0704,0.0571,Buy
2/4/2021,ARKW,PINTEREST INC- CLASS A,PINS,1686571.0,131.28,77.84,0.0171,26712.0,2.08,3.24,0.7,0.0091,-0.0058,Buy
2/4/2021,ARKW,PURE STORAGE INC - CLASS A,PSTG,6095078.0,163.96,26.9,0.0214,-180074.0,-4.84,-3.02,0.29,0.0109,-0.0446,Sell
2/4/2021,ARKW,ROKU INC,ROKU,662023.0,286.44,432.68,0.0373,10486.0,4.54,9.5,7.61,0.0179,0.0027,Buy
2/4/2021,ARKW,SALESFORCE.COM INC,CRM,371887.0,88.5,237.98,0.0115,5894.0,1.4,2.56,3.16,0.0135,0.0,Buy
2/4/2021,ARKW,SEA LTD-ADR,SE,685111.0,167.14,243.96,0.0218,10850.0,2.65,2.93,0.42,0.0017,-0.0136,Buy
2/4/2021,ARKW,SHOPIFY INC - CLASS A,SHOP,113970.0,143.7,1260.87,0.0187,1806.0,2.28,6.39,36.71,0.03,0.0108,Buy
2/4/2021,ARKW,SILVERGATE CAPITAL CORP-CL A,SI,545035.0,64.28,117.93,0.0084,8638.0,1.02,5.54,8.42,0.0769,0.0633,Buy
2/4/2021,ARKW,SKILLZ INC,SKLZ,1327024.0,51.74,38.99,0.0067,21028.0,0.82,10.9,7.72,0.2469,0.2182,Buy
2/4/2021,ARKW,SNAP INC - A,SNAP,1941378.0,113.2,58.31,0.0147,30744.0,1.79,-0.02,-0.95,-0.016,-0.0329,Buy
2/4/2021,ARKW,SPOTIFY TECHNOLOGY SA,SPOT,768636.0,241.89,314.7,0.0315,12166.0,3.83,1.9,-2.55,-0.008,-0.0248,Buy
2/4/2021,ARKW,SQUARE INC - A,SQ,1266024.0,300.96,237.72,0.0392,20048.0,4.77,16.95,9.78,0.0429,0.0262,Buy
2/4/2021,ARKW,SYNOPSYS INC,SNPS,275219.0,74.33,270.09,0.0097,4354.0,1.18,2.5,4.88,0.0184,0.0,Buy
