date,fund,company,ticker,shares,value,stockPrice,weight,deltaShares,flowValue,deltaValue,deltaPrice,deltaPricePercent,deltaWeight,action
2021-04-12,ARKX,AEROVIRONMENT INC,AVAV,62655.0,7.09,113.18,0.0109,808.0,0.09,-0.02,-1.83,-0.0159,0.0,Buy
2021-04-12,ARKX,AIRBUS SE,AIR,88569.0,10.66,120.35,0.0164,1144.0,0.14,0.16,0.26,0.0022,0.0186,Buy
2021-04-12,ARKX,ALIBABA GROUP HOLDING-SP ADR,BABA,43884.0,9.8,223.31,0.0151,568.0,0.13,-0.09,-4.93,-0.0216,-0.0066,Buy
2021-04-12,ARKX,ALPHABET INC-CL C,GOOG,8638.0,19.75,2285.88,0.0304,112.0,0.26,0.43,20.44,0.009,0.0236,Buy
2021-04-12,ARKX,AMAZON.COM INC,AMZN,6172.0,20.81,3372.2,0.032,80.0,0.27,0.71,72.9,0.0221,0.0356,Buy
2021-04-12,ARKX,ANSYS INC,ANSS,18517.0,6.79,366.7,0.0105,240.0,0.09,0.17,4.46,0.0123,0.0294,Buy
2021-04-12,ARKX,ATLAS CREST INVESTMENT COR-A,ACIC,603304.0,6.16,10.21,0.0095,7816.0,0.08,-0.03,-0.19,-0.0183,0.0,Buy
2021-04-12,ARKX,AUTODESK INC,ADSK,18615.0,5.54,297.57,0.0085,240.0,0.07,0.15,4.14,0.0141,0.0241,Buy
2021-04-12,ARKX,BOEING CO/THE,BA,89610.0,22.61,252.36,0.0348,1160.0,0.29,0.06,-2.59,-0.0102,0.0029,Buy
2021-04-12,ARKX,DASSAULT SYSTEMES SE,DSY,74421.0,16.94,227.67,0.0261,960.0,0.22,0.35,1.73,0.0077,0.0235,Buy
2021-04-12,ARKX,DEERE & CO,DE,44522.0,16.78,377.0,0.0258,576.0,0.22,0.35,2.93,0.0078,0.0198,Buy
2021-04-12,ARKX,ELBIT SYSTEMS LTD,ESLT,66105.0,9.56,144.62,0.0147,856.0,0.12,0.07,-0.78,-0.0054,0.0068,Buy
2021-04-12,ARKX,GARMIN LTD,GRMN U,97645.0,13.44,137.65,0.0207,1264.0,0.17,0.37,2.02,0.0149,0.0299,Buy
2021-04-12,ARKX,HEICO CORP,HEI,57464.0,7.55,131.34,0.0116,744.0,0.1,0.08,-0.36,-0.0027,0.0087,Buy
