date,fund,company,ticker,shares,value,stockPrice,weight,deltaShares,flowValue,deltaValue,deltaPrice,deltaPricePercent,deltaWeight,action
2021-04-21,IZRL,ARAD LTD,ARD,398489.0,5.87,14.73,0.0177,7756.0,0.11,0.11,0.0,0.0,0.0231,Buy
2021-04-21,IZRL,AUGWIND ENERGY TECH STORAGE,BIMCM,207611.0,5.3,25.53,0.016,4744.0,0.12,0.17,0.21,0.0083,0.039,Buy
2021-04-21,IZRL,BATM ADVANCED COMMUNICATIONS,BATM,4162289.0,5.42,1.3,0.0163,38420.0,0.05,-0.04,-0.02,-0.0152,-0.0061,Buy
2021-04-21,IZRL,BET SHEMESH ENGINES HOLDINGS,BSEN,277110.0,6.05,21.84,0.0182,3367.0,0.07,0.12,0.18,0.0083,0.0225,Buy
2021-04-21,IZRL,CELLCOM ISRAEL LTD,CEL,1453867.0,5.19,3.57,0.0156,75885.0,0.27,0.38,0.08,0.0229,0.0833,Buy
2021-04-21,IZRL,DANEL (ADIR YEOSHUA) LTD,DANE,36756.0,6.5,176.84,0.0196,-1459.0,-0.26,-0.25,0.32,0.0018,-0.0297,Sell
2021-04-21,IZRL,DREYFUS GOVT CASH MAN INS,,1546817.86,1.55,1.0,0.0047,349064.87,0.35,0.35,0.0,0.0,0.3056,Buy
2021-04-21,IZRL,E & M COMPUTING,EMCO,1167232.0,8.22,7.04,0.0248,-9027.0,-0.06,0.25,0.27,0.0399,0.0377,Sell
2021-04-21,IZRL,ELECTRA CONSUMER PRODUCTS 19,ECP,131202.0,6.13,46.75,0.0185,-11032.0,-0.52,-0.47,0.3,0.0065,-0.0657,Sell
2021-04-21,IZRL,HILAN LTD,HLAN,116177.0,5.82,50.07,0.0175,-4205.0,-0.21,-0.19,0.21,0.0042,-0.0278,Sell
2021-04-21,IZRL,INTERCURE LTD,INCR,1058456.86,8.14,7.69,0.0245,-28692.0,-0.22,-0.15,0.06,0.0079,-0.0161,Sell
2021-04-21,IZRL,ITAMAR MEDICAL LTD,ITMR,6875221.0,5.63,0.82,0.017,204407.0,0.17,0.21,0.01,0.0123,0.0429,Buy
2021-04-21,IZRL,KAMADA LTD,KMDA,956296.0,5.81,6.08,0.0175,75805.0,0.46,0.41,-0.05,-0.0082,0.0802,Buy
2021-04-21,IZRL,MAGIC SOFTWARE ENTERPRISES,MGIC,345167.0,5.54,16.06,0.0167,11487.0,0.18,0.15,-0.12,-0.0074,0.0309,Buy
2021-04-21,IZRL,MALAM - TEAM LTD,MLTM,208480.0,6.18,29.65,0.0186,-2317.0,-0.07,-0.11,-0.19,-0.0064,-0.0159,Sell
2021-04-21,IZRL,MATRIX IT LTD,MTRX,232793.0,5.91,25.4,0.0178,-7432.0,-0.19,-0.2,-0.07,-0.0027,-0.0273,Sell
2021-04-21,IZRL,PARTNER COMMUNICATIONS CO,PTNR,1315531.0,5.79,4.4,0.0174,4577.0,0.02,-0.21,-0.17,-0.0372,-0.0333,Buy
2021-04-21,IZRL,PLASSON INDUSTRIES LTD,PLSN,120812.0,6.33,52.41,0.0191,688.0,0.04,0.17,1.11,0.0216,0.0324,Buy
2021-04-21,IZRL,POLYPID LTD,PYPD,630761.0,6.04,9.58,0.0182,7208.0,0.07,-0.04,-0.17,-0.0174,0.0,Buy
2021-04-21,IZRL,ROBOGROUP T.E.K LTD,ROBO,2757860.0,4.68,1.7,0.0141,84643.0,0.14,0.15,0.0,0.0,0.0368,Buy
2021-04-21,IZRL,ISRAELI SHEKEL,,0.0,0.0,,0.0,1056755.08,,-0.32,,,,Exit
