date,fund,company,ticker,shares,value,stockPrice,weight,deltaShares,flowValue,deltaValue,deltaPrice,deltaPricePercent,deltaWeight,action
2021-05-10,PRNT,3D SYSTEMS CORP,DDD,1281102.0,24.61,19.21,0.0447,-39636.0,-0.76,0.28,0.79,0.0429,0.0229,Sell
2021-05-10,PRNT,3M CO,MMM,3441.0,0.7,203.07,0.0013,-99.0,-0.02,-0.02,0.66,0.0033,0.0,Sell
2021-05-10,PRNT,AEROJET ROCKETDYNE HOLDINGS,AJRD,106193.0,4.99,47.0,0.0091,-3285.0,-0.15,-0.17,-0.17,-0.0036,-0.0215,Sell
2021-05-10,PRNT,ALIGN TECHNOLOGY INC,ALGN,12195.0,7.3,598.34,0.0133,-369.0,-0.22,-0.05,13.62,0.0233,0.0076,Sell
2021-05-10,PRNT,ALLEGHENY TECHNOLOGIES INC,ATI,31534.0,0.76,24.17,0.0014,-972.0,-0.02,-0.04,-0.57,-0.023,0.0,Sell
2021-05-10,PRNT,ALTAIR ENGINEERING INC - A,ALTR,412178.0,27.14,65.85,0.0493,-12753.0,-0.84,-0.46,0.9,0.0139,-0.006,Sell
2021-05-10,PRNT,AMETEK INC,AME,55630.0,7.64,137.33,0.0139,-1719.0,-0.24,-0.15,1.49,0.011,-0.0071,Sell
2021-05-10,PRNT,ANSYS INC,ANSS,67775.0,22.53,332.38,0.041,-2088.0,-0.69,-0.71,-0.28,-0.0008,-0.0168,Sell
2021-05-10,PRNT,ARCONIC CORP,ARNC,187039.0,6.71,35.87,0.0122,-5787.0,-0.21,-0.27,-0.33,-0.0091,-0.024,Sell
2021-05-10,PRNT,ARKEMA,AKE,5583.0,0.74,131.65,0.0013,-171.0,-0.02,-0.02,0.58,0.0044,-0.0714,Sell
2021-05-10,PRNT,AUTODESK INC,ADSK,84936.0,24.27,285.76,0.0441,-2628.0,-0.75,-0.63,1.41,0.005,-0.0134,Sell
2021-05-10,PRNT,BERTRANDT AG,BDT,91090.0,5.23,57.37,0.0095,-2817.0,-0.16,-0.1,0.61,0.0107,-0.0104,Sell
