FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF
ARKG,2020-08-05,Sell,CDNA,14167L103,CAREDX INC,96276,NA
ARKG,2020-08-05,Sell,GH,40131M109,GUARDANT HEALTH INC,21373,NA
ARKG,2020-08-05,Sell,MCRB,81750R102,SERES THERAPEUTICS INC,104460,NA
ARKG,2020-08-05,Buy,PACB,69404D108,PACIFIC BIOSCIENCES OF CALIFORNIA INC,86989,NA
ARKG,2020-08-05,Sell,PSNL,71535D106,PERSONALIS INC,31402,NA
ARKG,2020-08-05,Buy,SURF,86877M209,SURFACE ONCOLOGY INC,123320,NA
ARKG,2020-08-05,Buy,TDOC,87918A105,TELADOC HEALTH INC,40168,NA
ARKG,2020-08-05,Sell,TXG,88025U109,10X GENOMICS INC,18169,NA
ARKK,2020-08-05,Buy,PRLB,743713109,PROTO LABS INC,42407,NA
ARKK,2020-08-05,Sell,ROKU,77543R102,ROKU INC,91330,NA
ARKK,2020-08-05,Sell,SQ,852234103,SQUARE INC,212401,NA
ARKK,2020-08-05,Sell,SQ,852234103,SQUARE INC,220155,NA
ARKK,2020-08-05,Buy,TDOC,87918A105,TELADOC HEALTH INC,152906,NA
ARKK,2020-08-05,Buy,TDOC,87918A105,TELADOC HEALTH INC,155960,NA
ARKK,2020-08-05,Sell,TSLA,88160R101,TESLA INC,13646,NA
ARKK,2020-08-05,Buy,TWLO,90138F102,TWILIO INC,121294,NA
ARKK,2020-08-05,Sell,TWOU,90214J101,2U INC,169629,NA
ARKW,2020-08-05,Buy,LC,52603A208,LENDINGCLUB CORP,278488,NA
ARKW,2020-08-05,Buy,NTDOY,654445303,NINTENDO CO LTD,65660,NA
ARKW,2020-08-05,Sell,ROKU,77543R102,ROKU INC,35409,NA
ARKW,2020-08-05,Sell,SQ,852234103,SQUARE INC,33200,NA
ARKW,2020-08-05,Sell,SQ,852234103,SQUARE INC,27084,NA
ARKW,2020-08-05,Buy,TDOC,87918A105,TELADOC HEALTH INC,44856,NA
ARKW,2020-08-05,Sell,WDAY,98138H101,WORKDAY INC,10473,NA
ARKW,2020-08-05,Buy,XLNX,983919101,XILINX INC,56047,NA
ARKW,2020-08-05,Sell,Z,98954M200,ZILLOW GROUP INC,41692,NA
ARKG,2020-08-06,Buy,CERS,157085101,CERUS CORP,179367,NA
ARKG,2020-08-06,Buy,TDOC,87918A105,TELADOC HEALTH INC,20167,NA
ARKG,2020-08-06,Sell,ILMN,452327109,ILLUMINA INC,4385,NA
ARKG,2020-08-06,Sell,MCRB,81750R102,SERES THERAPEUTICS INC,51365,NA
ARKG,2020-08-06,Sell,CRSP,H17182108,CRISPR THERAPEUTICS AG,28107,NA
ARKG,2020-08-06,Sell,CGEN,M25722105,COMPUGEN LTD,46271,NA
ARKK,2020-08-06,Buy,FB,30303M102,FACEBOOK INC,275877,NA
ARKK,2020-08-06,Buy,TDOC,87918A105,TELADOC HEALTH INC,78413,NA
ARKK,2020-08-06,Sell,SQ,852234103,SQUARE INC,111005,NA
ARKK,2020-08-06,Sell,SNAP,83304A106,SNAP INC,3380010,NA
ARKQ,2020-08-06,Buy,PRLB,743713109,PROTO LABS INC,5314,NA
ARKQ,2020-08-06,Buy,TWOU,90214J101,2U INC,10993,NA
ARKQ,2020-08-06,Sell,AAPL,037833100,APPLE INC,1547,NA
ARKQ,2020-08-06,Sell,TSLA,88160R101,TESLA INC,320,NA
ARKW,2020-08-06,Buy,FB,30303M102,FACEBOOK INC,31491,NA
ARKW,2020-08-06,Buy,LC,52603A208,LENDINGCLUB CORP,156110,NA
ARKW,2020-08-06,Buy,TDOC,87918A105,TELADOC HEALTH INC,23156,NA
ARKW,2020-08-06,Buy,WIX,M98068105,WIX.COM LTD,35799,NA
ARKW,2020-08-06,Sell,SPLK,848637104,SPLUNK INC,13533,NA
ARKW,2020-08-06,Sell,SQ,852234103,SQUARE INC,25116,NA
ARKW,2020-08-06,Sell,HUYA,44852D108,HUYA INC,74315,NA
ARKW,2020-08-06,Sell,SNAP,83304A106,SNAP INC,371049,NA
ARKW,2020-08-06,Sell,TWTR,90184L102,TWITTER INC,76046,NA
ARKW,2020-08-06,Sell,Z,98954M200,ZILLOW GROUP INC,84524,NA
ARKF,2020-08-07,Sell,MELI,58733R102,MERCADOLIBRE INC,849,NA
ARKF,2020-08-07,Sell,Z,98954M200,ZILLOW GROUP INC,7585,NA
ARKG,2020-08-07,Sell,ARCT,03969T109,ARCTURUS THERAPEUTICS HOLDINGS,93188,NA
ARKG,2020-08-07,Sell,CDNA,14167L103,CAREDX INC,52588,NA
ARKG,2020-08-07,Buy,CERS,157085101,CERUS CORP,94690,NA
ARKG,2020-08-07,Sell,CGEN,M25722105,COMPUGEN LTD,116752,NA
ARKG,2020-08-07,Sell,CRSP,H17182108,CRISPR THERAPEUTICS AG,99940,NA
ARKG,2020-08-07,Buy,ILMN,452327109,ILLUMINA INC,34940,NA
ARKG,2020-08-07,Buy,TDOC,87918A105,TELADOC HEALTH INC,21447,NA
ARKG,2020-08-07,Sell,TWST,90184D100,TWIST BIOSCIENCE CORP,30659,NA
ARKK,2020-08-07,Sell,SPLK,848637104,SPLUNK INC,31097,NA
ARKK,2020-08-07,Sell,SQ,852234103,SQUARE INC,118685,NA
ARKK,2020-08-07,Buy,TDOC,87918A105,TELADOC HEALTH INC,80830,NA
ARKK,2020-08-07,Sell,TER,880770102,TERADYNE INC,114572,NA
ARKK,2020-08-07,Sell,Z,98954M200,ZILLOW GROUP INC,174835,NA
ARKK,2020-08-07,Sell,ROKU,77543R102,ROKU INC,106575,NA
ARKK,2020-08-07,Buy,ILMN,452327109,ILLUMINA INC,77922,NA
ARKW,2020-08-07,Buy,AYX,02156B103,ALTERYX INC,57302,NA
ARKW,2020-08-07,Sell,ROKU,77543R102,ROKU INC,30965,NA
ARKW,2020-08-07,Sell,SQ,852234103,SQUARE INC,55224,NA
ARKW,2020-08-07,Buy,TDOC,87918A105,TELADOC HEALTH INC,24268,NA
ARKW,2020-08-07,Sell,Z,98954M200,ZILLOW GROUP INC,65645,NA
ARKF,2020-08-10,Buy,ICE,45866F104,INTERCONTINENTAL EXCHANGE INC,42059,NA
ARKF,2020-08-10,Sell,Z,98954M200,ZILLOW GROUP INC,52852,NA
ARKG,2020-08-10,Buy,SURF,86877M209,SURFACE ONCOLOGY INC,181233,NA
ARKG,2020-08-10,Buy,CERS,157085101,CERUS CORP,47366,NA
ARKG,2020-08-10,Buy,TDOC,87918A105,TELADOC HEALTH INC,28536,NA
ARKG,2020-08-10,Buy,BLI,084310101,BERKELEY LIGHTS INC,22080,NA
